# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-03-04	0				
2020-03-18	65				
2020-03-20	92				
2020-03-21	109	1			
2020-03-22	131	1			
2020-03-23	156	1			
2020-03-24	205	2			
2020-03-25	228	2			
2020-03-26	253	3			
2020-03-27	287	3			
2020-03-28	317	4			
2020-03-29	339	5			
2020-03-30	351	6			
2020-03-31	375	7			
2020-04-01	401	7	57	12	
2020-04-02	422	7	66	11	
2020-04-03	449	7	49	12	
2020-04-04	469	7	49	12	
2020-04-05	478	9	49	12	
2020-04-06	497	9	61	6	
2020-04-07	509	9	57	6	
2020-04-08	527	9			
2020-04-09	542	9	62	6	
2020-04-10	560	9	69	6	
2020-04-11	568	10			
2020-04-12	576	10	60	5	
2020-04-13	580	10	40	5	
2020-04-14	589	11	47	4	
2020-04-15	596	12	46	4	
2020-04-16	599	13	40	3	
2020-04-17	607	14	40	3	
2020-04-18	623	15	26	4	
2020-04-19	626	15	26	4	
2020-04-20	633	15	33	5	
2020-04-21	643	15	35	5	
2020-04-22	648	15			
2020-04-23	654	15	38	7	
2020-04-24	660	16			
2020-04-25	667	16	32	8	
2020-04-26	670	16	26	7	
2020-04-27	674	16	32	7	
2020-04-28	677	17	29	7	
2020-04-29	687	17	31	8	
2020-04-30	694	17	31	8	
2020-05-01	703	17	40	8	
2020-05-02	704	17	40	8	
2020-05-03	705	18	40	7	
2020-05-04	705	18	34	6	
2020-05-05	706	18	37	6	
2020-05-06	709	18	32	6	
2020-05-07	710	19	31	6	
2020-05-08	713	19	28	6	
2020-05-09	713	19			
2020-05-10	713	19			
2020-05-11	713	19	29	5	
2020-05-12	715	19	32	5	
2020-05-13	715	19	29	4	
2020-05-14	715	19	29	4	
2020-05-15	715	20	27	4	
2020-05-16	719	20			
2020-05-17	723	20			
2020-05-18	726	20	26	4	
2020-05-19	727	20	23	4	
2020-05-20	732	20	19	3	
2020-05-22	733	20			
2020-05-23	733	20			
2020-05-24	733	20			
2020-05-25	733	20	25	4	
2020-05-26	734	20	25	4	
2020-05-27	735	20	26	4	
2020-05-28	735	20			
2020-05-29	735	20	26	5	
2020-05-30	735	20			
2020-05-31	735	20			
2020-06-01	735	20			
2020-06-02	735	20			
2020-06-03	735	20	20	5	
2020-06-04	735	20			
2020-06-05	735	20			
2020-06-07	736	20			
2020-06-08	736	20	5	3	
2020-06-09	736	20			
2020-06-10	736	20	8	2	
2020-06-11	736	20			
2020-06-14	738	20	8	2	
2020-06-16	740	20			
2020-06-17	740	20	13	2	
2020-06-18	740	20	13	2	
2020-06-19	741	20	9	2	
2020-06-20	741	20			
2020-06-21	744	20			
2020-06-22	745	20	9	2	
2020-06-23	746	20			
2020-06-24	747	20	10	1	
2020-06-25	747	20	10	1	
2020-06-26	749	20			
2020-06-27	749	20			
2020-06-28	752	20			
2020-06-29	754	20	10	1	
2020-06-30	760	20			
2020-07-01	763	20	9	2	
2020-07-02	763	20	9	2	
2020-07-03	767	20	9	2	
2020-07-05	771	20			
2020-07-06	771	20	9	2	
2020-07-07	772	20			
2020-07-08	775	20	5	2	
2020-07-09	778	20			
2020-07-10	784	20	5	2	
2020-07-11	784				
2020-07-12	790	20			
2020-07-13	793	20	5	2	
2020-07-14	796	20	4	3	
2020-07-15	806	20	5	4	
2020-07-16	807	20	5	4	
2020-07-17	813	20	6	4	
2020-07-18	813		7	4	
2020-07-19	819	20			
2020-07-20	819	20	7	4	
2020-07-21	828	20	7	4	
2020-07-22	832	20	7	3	
2020-07-23	832	20	5	3	
2020-07-24	839	20	6	3	
2020-07-25	839				
2020-07-26	841	20	6	3	
2020-07-27	841	20	6	3	
2020-07-28	848	20	6	4	
2020-07-29	854	20	8	3	
2020-07-30	866	20	9	5	
2020-07-31	874	20	12	5	
2020-08-01	878	20	13	8	
2020-08-03	882	20	13	8	
2020-08-04	892	20	14	5	
2020-08-05	905	20	14	5	
2020-08-06	910	21	13	5	
2020-08-07	916	21	12	4	
2020-08-08	924	21	11	3	
2020-08-10	925	21	10	3	
2020-08-11	932	21	8	3	
2020-08-12	940	21	9	4	
2020-08-13	957	21	10	4	
2020-08-14	970	21	10	4	
2020-08-17	984	21	10	4	
2020-08-18	986	21	8	4	
2020-08-19	995	21	8	4	
2020-08-20	998	21	7	4	
2020-08-21	1004	21	8	3	
2020-08-24	1013	21	8	3	
2020-08-25	1017	21	9	3	
2020-08-26	1027	21	9	3	
2020-08-27	1034	21	10	3	
2020-08-28	1045	21	10	3	
2020-08-31	1060	21	10	4	
2020-09-01	1064	21	10	3	
2020-09-02	1067	21	8	1	
2020-09-03	1077	21	7	1	
2020-09-04	1083	21	8	1	
2020-09-07	1092	21	8	2	
2020-09-08	1093	21	6	1	
2020-09-09	1097	21	6	1	
2020-09-10	1107	21	6	1	
2020-09-11	1115	21	6	1	
2020-09-14	1124	23	7	0	
2020-09-15	1135	23	5	0	
2020-09-16	1142	23	6	0	
2020-09-17	1154	23	6	0	
2020-09-18	1164	23	6	0	
2020-09-21	1184	23	6	0	
2020-09-22	1188	23	7	0	
2020-09-23	1193	23	7	0	
2020-09-24	1201	23	7	1	
2020-09-25	1204	23	8	1	
2020-09-28	1218	23	8	0	
2020-09-29	1222	23	6	0	
2020-09-30	1236	24	5	0	
2020-10-01	1244	24	6	1	
2020-10-05	1279	24	6	1	
2020-10-06	1293	24	6	1	
2020-10-07	1314	24	5	1	
2020-10-08	1357	24	6	2	
2020-10-09	1400	24	7	2	
2020-10-12	1526	24	12	2	
2020-10-13	1576	24	11	0	
2020-10-14	1655	24	13	0	
2020-10-15	1758	24	15	1	
2020-10-16	1892	24	13	1	
2020-10-19	2160	24	18	2	
2020-10-20	2324	24	25	3	
2020-10-21	2489	24	26	4	
2020-10-22	2670	25	31	4	
2020-10-23	2854	25	37	5	
2020-10-26	3420	25	52	7	
