# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	4		2		
2020-03-12	5		5		
2020-03-13	5		6		
2020-03-14	5		6		
2020-03-15	8		6		
2020-03-16	10		7		
2020-03-17	12		6		
2020-03-18	18		6		
2020-03-19	25		5		
2020-03-20	28		5		
2020-03-21	33		5		
2020-03-22	36		5		
2020-03-23	39		5		
2020-03-24	42		4		
2020-03-25	44		3		
2020-03-26	48		2		
2020-03-27	54		3		
2020-03-28	55		4		
2020-03-29	59		4		
2020-03-30	63		8		
2020-03-31	70		7	1	
2020-04-01	70		9	2	
2020-04-02	76		9	2	
2020-04-03	79		10	2	
2020-04-04	80		10	2	
2020-04-05	80		9	2	
2020-04-06	86		11	2	
2020-04-07	87		9	2	
2020-04-08	93		9	1	
2020-04-09	96		9	1	
2020-04-10	100		7	1	
2020-04-11	103	1	8	2	
2020-04-12	104	1	7	2	
2020-04-13	104	1	7	2	
2020-04-14	105	1	7	2	
2020-04-15	106	2	7	2	
2020-04-16	106	2	5	2	
2020-04-17	107	3	4	2	
2020-04-18	108	3	4	2	
2020-04-19	108	3	4	2	
2020-04-20	108	3	4	2	
2020-04-21	108	3	4	1	
2020-04-22	108	3	4	1	
2020-04-23	108	3	4	1	
2020-04-24	108	3	3	0	
2020-04-25	108	3	3	0	
2020-04-26	110	3	3	0	
2020-04-27	110	3	2	0	
2020-04-28	111	3	2	0	
2020-04-29	111	3	2	0	
2020-04-30	113	3	1	0	
2020-05-01	113	3	1	0	
2020-05-02	113	3	1	0	
2020-05-03	113	3	1	0	
2020-05-04	113	3	1	0	
2020-05-05	113	3	1	0	
2020-05-06	113	3	1	0	
2020-05-07	115	3	1	0	
2020-05-08	115	3	0	0	
2020-05-09	115	3	1	0	
2020-05-10	115	3	1	0	
2020-05-11	117	3	0	0	
2020-05-12	118	3	0	0	
2020-05-13	120	3	0	0	
2020-05-14	122	3	0	0	
2020-05-15	122	3	0	0	
2020-05-16	123	3	0	0	
2020-05-17	123	3	0	0	
2020-05-18	123	3	0	0	
2020-05-19	123	3	0	0	
2020-05-20	123	3	0	0	
2020-05-21	123	3	0	0	
2020-05-22	123	3	0	0	
2020-05-23	123	3	0	0	
2020-05-24	123	3	0	0	
2020-05-25	123	3	0	0	
2020-05-26	123	3	0	0	
2020-05-27	123	3	0	0	
2020-05-28	123	3	0	0	
2020-05-29	123	3	0	0	
2020-05-30	124	3	0	0	
2020-05-31	124	3	1	0	
2020-06-01	124	3	1	0	
2020-06-02	124	3	0	0	
2020-06-03	124	3	0	0	
2020-06-04	124	3	0	0	
2020-06-05	124	3	0	0	
2020-06-06	124	3	0	0	
2020-06-07	124	3	0	0	
2020-06-08	124	3	0	0	
2020-06-09	124	3	0	0	
2020-06-10	124	3	0	0	
2020-06-11	124	3	0	0	
2020-06-12	124	3	0	0	
2020-06-13	124	3	0	0	
2020-06-14	124	3	0	0	
2020-06-15	124	3	0	0	
2020-06-16	124	3	0	0	
2020-06-17	124	3	0	0	
2020-06-18	124	3	0	0	
2020-06-19	124	3	0	0	
2020-06-20	124	3	0	0	
2020-06-21	124	3	0	0	
2020-06-22	124	3	0	0	
2020-06-23	124	3	0	0	
2020-06-24	124	3	0	0	
2020-06-25	124	3	0	0	
2020-06-26	124	3	0	0	
2020-06-27	124	3	0	0	
2020-06-28	124	3	0	0	
2020-06-29	124	3	0	0	
2020-06-30	124	3	0	0	
2020-07-01	124	3	0	0	
2020-07-02	124	3	0	0	
2020-07-03	124	3	0	0	
2020-07-04	124	3	0	0	
2020-07-05	124	3	0	0	
2020-07-06	124	3	0	0	
2020-07-07	124	3	0	0	
2020-07-08	125	3	0	0	
2020-07-09	125	3	0	0	
2020-07-10	126	3	0	0	
2020-07-11	126	3	0	0	
2020-07-12	126	3	0	0	
2020-07-13	126	3	0	0	
2020-07-14	126	3	0	0	
2020-07-15	127	3	0	0	
2020-07-16	127	3	0	0	
2020-07-17	127	3	0	0	
2020-07-18	128	3	0	0	
2020-07-19	128	3	0	0	
2020-07-20	128	3	0	0	
2020-07-21	128	3	0	0	
2020-07-22	128	3	0	0	
2020-07-23	128	3	0	0	
2020-07-24	128	3	0	0	
2020-07-25	128	3	0	0	
2020-07-26	128	3	0	0	
2020-07-27	128	3	0	0	
2020-07-28	128	3	0	0	
2020-07-29	128	3	0	0	
2020-07-30	129	3	1	0	
2020-07-31	129	3	1	0	
2020-08-01	129	3	1	0	
2020-08-02	129	3	1	0	
2020-08-03	129	3	1	0	
2020-08-04	129	3	1	0	
2020-08-05	130	3	1	0	
2020-08-06	130	3	0	0	
2020-08-07	130	3	0	0	
2020-08-08	131	3	0	0	
2020-08-09	131	3	0	0	
2020-08-10	131	3	0	0	
2020-08-11	131	3	0	0	
2020-08-12	131	3	0	0	
2020-08-13	131	3	0	0	
2020-08-14	131	3	0	0	
2020-08-15	131	3	0	0	
2020-08-16	131	3	0	0	
2020-08-17	131	3	0	0	
2020-08-18	131	3	0	0	
2020-08-19	131	3	0	0	
2020-08-20	131	3	0	0	
2020-08-21	131	3	0	0	
2020-08-22	131	3	0	0	
2020-08-23	131	3	0	0	
2020-08-24	131	3	0	0	
