# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-03-02	0				
2020-03-04	1				
2020-03-06	2				
2020-03-12	15				
2020-03-17	47				
2020-03-18	61				
2020-03-19	85				
2020-03-20	98				
2020-03-23	185	1			
2020-03-24	200	1			
2020-03-25	228	1			
2020-03-26	280	1			
2020-03-27	306	2			
2020-03-28	339	5			
2020-03-29	365	5			
2020-03-30	389	7			
2020-03-31	394	7			
2020-04-01	414	7			
2020-04-02	455	8	64	11	49
2020-04-03	480	8	75	12	50
2020-04-04	504	9	79	13	62
2020-04-05	515	9	70	13	70
2020-04-06	532	11	70	12	75
2020-04-07	557	13	65	9	79
2020-04-08	578	15	52	12	89
2020-04-09	604	16	52	13	92
2020-04-10	632	17	60	11	93
2020-04-11	641	18	60	11	102
2020-04-12	649	21	58	9	109
2020-04-13	657	21	58	10	119
2020-04-14	664	21	59	9	120
2020-04-15	676	23	47	9	123
2020-04-16	680	25	56	7	138
2020-04-17	693	27	41	9	144
2020-04-18	699	27	44	7	150
2020-04-19	705	27	45	7	150
2020-04-20	711	27	42	7	159
2020-04-21	718	29	48	8	159
2020-04-22	724	29	52	6	162
2020-04-23	736	31	37	2	170
2020-04-24	745	31	43	4	175
2020-04-25	753	31			
2020-04-26	761	31	38	4	176
2020-04-27	767	31	39	2	176
2020-04-28	775	33	44	3	176
2020-04-29	776	33	44	10	176
2020-04-30	780	33	37	3	184
2020-05-01	788	33	36	3	187
2020-05-04	793	33	29	2	189
2020-05-05	793	33			
2020-05-06	794	33	29	2	203
2020-05-07	795	33			
2020-05-08	798	35			
2020-05-11	801	36	22	1	210
2020-05-12	802	36			
2020-05-13	802	36	10	2	215
2020-05-14	802	36			
2020-05-15	803	36	11	2	216
2020-05-18	806	36	8	1	217
2020-05-19	806	36			
2020-05-20	807	36	11	1	217
2020-05-25	807	36			
2020-05-26	807	36			
2020-05-27	808	37			
2020-05-28	808	37			
2020-05-29	808	37			
2020-06-03	809	37	8	2	223
2020-06-08	809		9	2	223
2020-06-10	811	37			
2020-06-15	811		7	2	223
2020-06-17	820	38			
2020-06-22	822	38			
2020-06-23	823	38			
2020-06-24	825	38	12	3	226
2020-06-25	828	38			
2020-06-26	831	38			
2020-06-29	837	38			
2020-06-30	843	38			
2020-07-01	859	38			
2020-07-02	859	38			
2020-07-03	870	38			
2020-07-06	881	39			
2020-07-07	883	39			
2020-07-08	893	39			
2020-07-09	900	39			
2020-07-10	910	39			
2020-07-13	919	39			
2020-07-14	925	39			
2020-07-15	925	39			
2020-07-16	927	39			
