# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	2	0	0	0	0
2020-03-10	5	0	0	0	0
2020-03-11	5	0	0	0	0
2020-03-12	7	0	0	0	0
2020-03-13	8	0	0	0	0
2020-03-14	11	0	0	0	0
2020-03-15	13	0	1	0	0
2020-03-16	20	0	1	0	0
2020-03-17	29	0	4	0	0
2020-03-18	44	0	5	0	0
2020-03-19	51	0	7	0	0
2020-03-20	59	0	8	1	0
2020-03-21	73	0	9	2	0
2020-03-22	80	0	10	3	0
2020-03-23	86	0	9	4	2
2020-03-24	95	2	12	4	2
2020-03-25	112	2	11	5	4
2020-03-26	117	2	14	6	4
2020-03-27	131	2	15	6	5
2020-03-28	140	2	18	7	5
2020-03-29	148	2	21	8	6
2020-03-30	158	4	22	8	10
2020-03-31	169	4	23	8	11
2020-04-01	185	5	22	10	13
2020-04-02	197	6	25	12	14
2020-04-03	209	7	26	14	18
2020-04-04	215	7	25	14	21
2020-04-05	220	8	24	13	22
2020-04-06	229	8	28	15	23
2020-04-07	250	8	29	15	24
2020-04-08	262	8	30	15	24
2020-04-09	269	8	28	15	27
2020-04-10	285	8	27	17	28
2020-04-11	290	8	26	17	30
2020-04-12	294	9	24	16	34
2020-04-13	297	10	24	16	36
2020-04-14	303	10	24	15	38
2020-04-15	311	12	24	14	39
2020-04-16	322	12	21	14	42
2020-04-17	331	14	20	13	44
2020-04-18	334	14	20	13	44
2020-04-19	336	14	20	13	44
2020-04-20	340	15	20	13	44
2020-04-21	342	15	18	10	46
2020-04-22	353	15	19	10	47
2020-04-23	359	15	20	9	47
2020-04-24	360	16	18	9	49
2020-04-25	361	17	17	9	50
2020-04-26	361	17	17	9	50
2020-04-27	362	17	14	8	53
2020-04-28	364	17	10	8	57
2020-04-29	365	17	10	7	58
2020-04-30	367	17	10	7	58
2020-05-01	372	17	11	6	58
2020-05-02	372	17	11	6	58
2020-05-03	373	17	11	6	58
2020-05-04	373	17	10	6	59
2020-05-05	374	17	10	5	59
2020-05-06	375	17	9	5	60
2020-05-07	375	17	9	5	60
2020-05-08	375	17	9	5	61
2020-05-09	376	17	9	5	61
2020-05-10	376	17	9	5	61
2020-05-11	376	17	9	4	61
