# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-28			4		
2020-02-29			4		
2020-03-01			4		
2020-03-02			6		
2020-03-03			8		
2020-03-04			11	1	
2020-03-05			14	1	
2020-03-06	23	1	15	2	
2020-03-07	30	1	16	4	
2020-03-08	40	1	22	3	
2020-03-09	51	1	29	5	
2020-03-10	130	1	48	8	
2020-03-11	203	1	51	7	
2020-03-12	277	3	55	6	
2020-03-13	369	3	61	7	
2020-03-14	476	4	75	10	
2020-03-15	566	5	90	10	
2020-03-16	796	7	126	20	
2020-03-17	1039	9	140	24	
2020-03-18	1305	12	153	24	
2020-03-19	1514	13	170	23	
2020-03-20	1756	19	182	23	
2020-03-21	1875	22	211	24	
2020-03-22	1977	24	231	30	
2020-03-23	2283	28	248	38	
2020-03-24	2548	32	284	39	
2020-03-25	2740	40	313	50	
2020-03-26	2945	57	324	54	
2020-03-27	3179	61	357	58	
2020-03-28	3310	72	365	59	
2020-03-29	3395	81	367	60	
2020-03-30	3607	93	369	62	
2020-03-31	3766	105	377	65	
2020-04-01	3918	116	382	67	
2020-04-02	4052	135	373	68	
2020-04-03	4188	153	365	66	
2020-04-04	4260	164	365	66	
2020-04-05	4299	176	376	65	
2020-04-06	4417	192	361	63	
2020-04-07	4494	204	334	62	
2020-04-08	4585	216	325	61	
2020-04-09	4682	230	308	62	
2020-04-10	4731	237	299	64	
2020-04-11	4771	243	285	64	
2020-04-12	4808	251	294	63	
2020-04-13	4852	257	294	59	
2020-04-14	4919	267	277	58	
2020-04-15	4968	284	249	54	
2020-04-16	4997	297	241	53	
2020-04-17	5029	303	225	52	
2020-04-18	5051	311	222	49	
2020-04-19	5062	316	223	48	
2020-04-20	5094	327	206	42	
2020-04-21	5126	335	193	42	
2020-04-22	5147	340	181	41	
2020-04-23	5180	350	181	39	
2020-04-24	5203	353	168	36	
2020-04-25	5216	363	173	36	
2020-04-26	5228	367	182	36	
2020-04-27	5252	371	171	33	
2020-04-28	5274	376	160	32	
2020-04-29	5288	377	151	31	
2020-04-30	5300	379	143	27	
2020-05-01	5314	381	137	26	
2020-05-02	5323	383	118	24	
2020-05-03	5324	384	120	23	
