# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	2	0	0	0	0
2020-03-06	3	0	0	0	0
2020-03-07	3	0	0	0	0
2020-03-08	3	0	0	0	0
2020-03-09	10	0	0	0	0
2020-03-10	10	0	0	0	0
2020-03-11	11	0	0	0	0
2020-03-12	11	0	0	0	0
2020-03-13	11	0	0	0	0
2020-03-14	13	0	0	0	0
2020-03-15	13	0	0	0	0
2020-03-16	20	0	0	0	0
2020-03-17	29	0	0	0	1
2020-03-18	33	0	0	0	5
2020-03-19	37	0	1	0	5
2020-03-20	48	0	1	0	5
2020-03-21	53	0	3	0	5
2020-03-22	53	0	3	0	5
2020-03-23	53	0	3	0	5
2020-03-24	72	0	6	0	12
2020-03-25	80	0	9	1	18
2020-03-26	87	0	10	1	18
2020-03-27	94	0	12	5	18
2020-03-28	101	1	12	5	21
2020-03-29	101	1	12	5	21
2020-03-30	112	1	13	5	29
2020-03-31	114	1	14	6	39
2020-04-01	125	1	13	5	40
2020-04-02	131	1	14	5	41
2020-04-03	138	2	15	7	44
2020-04-04	146	2	14	7	46
2020-04-05	146	2	14	7	46
2020-04-06	152	3	14	8	52
2020-04-07	157	3	15	8	54
2020-04-08	162	3	12	9	61
2020-04-09	165	3	13	9	69
2020-04-10	168	3	15	9	76
2020-04-11	168	4	14	9	79
2020-04-12	168	5	13	9	80
2020-04-13	170	5	13	9	84
2020-04-14	171	5	13	9	88
2020-04-15	171	6	13	9	92
2020-04-16	171	6	9	7	94
2020-04-17	172	6	8	6	96
2020-04-18	174	7	6	6	99
2020-04-19	175	7	11	6	99
2020-04-20	175	7	11	5	99
2020-04-21	176	8	9	4	99
2020-04-22	176	8	6	3	131
2020-04-23	178	8	6	3	133
2020-04-24	180	8	6	3	133
2020-04-25	181	8	6	3	133
2020-04-26	181	8	6	3	133
2020-04-27	185	8	7	3	134
2020-04-28	185	8	7	3	134
2020-04-29	185	8	6	3	135
2020-04-30	189	8	6	3	135
2020-05-01	189	8	4	1	136
2020-05-02	189	8	3	1	136
2020-05-03	189	8	3	1	137
2020-05-04	190	8	3	1	138
2020-05-05	191	8	4	2	138
2020-05-06	191	8	3	2	142
2020-05-07	192	8	2	1	143
2020-05-08	192	8	2	1	144
2020-05-09	193	8	2	1	152
2020-05-10	193	8	1	1	152
2020-05-11	193	8	1	1	152
2020-05-12	194	8	1	1	159
2020-05-13	195	8	0	0	161
2020-05-14	197	8	0	0	161
2020-05-15	198	8	0	0	163
2020-05-16	199	8	0	0	168
2020-05-17	199	8	0	0	168
2020-05-18	199	8	0	0	169
2020-05-19	199	8	0	0	171
2020-05-20	199	8	0	0	171
2020-05-21	199	9	0	0	173
2020-05-22	199	9	0	0	173
2020-05-23	201	9	0	0	174
2020-05-24	202	9	0	0	174
2020-05-25	202	9	1	0	175
2020-05-26	202	9	1	0	176
2020-05-27	202	9	0	0	179
2020-05-28	202	9	0	0	180
2020-05-29	202	9	0	0	180
2020-05-30	202	9	0	0	180
2020-05-31	202	9	0	0	180
2020-06-01	202	9	0	0	180
2020-06-02	202	9	0	0	185
2020-06-03	202	9	0	0	185
2020-06-04	202	9	0	0	185
2020-06-05	202	9	0	0	185
2020-06-06	202	9	0	0	185
2020-06-07	202	9	0	0	185
2020-06-08	203	9	0	0	185
2020-06-09	205	9	0	0	185
2020-06-10	207	9	1	0	186
2020-06-11	207	9	1	0	186
2020-06-12	211	9	1	0	186
2020-06-13	211	9	1	0	186
2020-06-14	211	9	1	0	186
2020-06-15	213	9	1	0	189
2020-06-16	214	9	0	0	189
2020-06-17	215	9	0	0	189
2020-06-18	215	9	0	0	190
2020-06-19	215	9	0	0	190
2020-06-20	215	9	0	0	190
2020-06-21	215	9	0	0	190
2020-06-22	216	9	0	0	190
2020-06-23	216	9	0	0	190
2020-06-24	218	9	0	0	196
2020-06-25	219	9	0	0	196
2020-06-26	221	9	0	0	198
2020-06-27	221	9	0	0	198
2020-06-28	221	9	0	0	198
2020-06-29	223	9	0	0	198
2020-06-30	225	9	0	0	199
2020-07-01	227	9	0	0	202
2020-07-02	229	9	0	0	202
2020-07-03	233	9	0	0	202
2020-07-04	235	9	0	0	204
2020-07-05	235	9	0	0	204
2020-07-06	238	9	1	0	204
2020-07-07	240	9	2	0	206
2020-07-08	241	9	2	0	209
2020-07-09	243	9	2	0	211
2020-07-10	245	9	1	0	211
2020-07-11	248	9	2	0	211
2020-07-12	250	9	3	0	211
2020-07-13	250	9	3	0	215
2020-07-14	255	9	3	0	221
2020-07-15	257	9	3	0	221
2020-07-16	259	9	3	0	223
2020-07-17	259	9	5	0	223
2020-07-18	259	9	5	0	223
2020-07-19	259	9	5	0	223
2020-07-20	261	9	2	0	224
2020-07-21	265	9	2	1	231
2020-07-22	268	9	1	0	233
2020-07-23	270	9	1	0	236
2020-07-24	271	9	1	0	236
2020-07-25	271	9	1	0	236
2020-07-26	271	9	1	0	236
2020-07-27	272	9	0	0	236
2020-07-28	273	9	0	0	244
2020-07-29	279	9	0	0	
2020-07-30	284	9	0	0	246
2020-07-31	288	9	2	0	246
2020-08-01	288	9	2	0	246
2020-08-02	288	9	2	0	246
2020-08-03	293	9	2	0	246
2020-08-04	296	9	2	0	251
2020-08-05	296	9	2	0	258
2020-08-06	296	9	1	0	259
2020-08-07	297	9	0	0	259
2020-08-08	297	9	0	0	259
2020-08-09	297	9	0	0	259
2020-08-10	302	9	2	0	261
2020-08-11	305	9	0	0	261
2020-08-12	307	9	1	0	261
2020-08-13	309	9	0	0	266
2020-08-14	312	9	0	0	275
2020-08-15	312	9	0	0	275
2020-08-16	312	9	0	0	275
2020-08-17	315	9	1	0	275
2020-08-18	317	9	1	0	277
2020-08-19	319	9	0	0	278
2020-08-20	321	9	0	0	287
2020-08-21	323	9	0	0	287
2020-08-22	323	9	0	0	287
2020-08-23	323	9	0	0	287
2020-08-24	334	9	3	0	287
2020-08-25	338	9	3	0	296
2020-08-26	340	9	3	1	297
2020-08-27	341	9	3	1	297
2020-08-28	344	9	3	1	301
2020-08-29	344	9	3	1	301
2020-08-30	344	9	3	1	301
2020-08-31	349	9	4	0	311
2020-09-01	353	9	4	0	311
2020-09-02	354	9	3	0	314
2020-09-03	361	9	2	0	316
2020-09-04	371	9	2	0	317
2020-09-05	371	9	2	0	317
2020-09-06	371	9	2	0	317
2020-09-07	377	9	1	0	318
2020-09-08	384	9	0	0	327
2020-09-09	386	9	0	0	335
2020-09-10	388	9	0	0	335
2020-09-11	392	9	0	0	338
2020-09-12	392	9	0	0	338
2020-09-13	392	9	0	0	338
2020-09-14	404	9	1	0	342
2020-09-15	408	9	1	0	359
2020-09-16	409	9	1	0	363
2020-09-17	410	9	0	0	376
2020-09-18	414	9	0	0	376
2020-09-19	414	9	0	0	376
2020-09-20	414	9	0	0	376
2020-09-21	416	9	0	0	376
2020-09-22	417	9	1	0	394
2020-09-23	423	9	1	0	394
2020-09-24	424	9	2	0	397
2020-09-25	429	9	3	0	397
2020-09-26	429	9	3	0	397
2020-09-27	429	9	3	0	397
2020-09-28	432	9	2	0	400
2020-09-29	433	9	3	0	408
2020-09-30	441	9	4	0	409
2020-10-01	447	9	2	0	410
2020-10-02	450	9	0	0	410
2020-10-03	467	9	0	0	410
2020-10-04	484	9	0	0	410
2020-10-05	485	9	2	0	421
2020-10-06	510	9	2	0	421
2020-10-07	536	9	2	0	421
2020-10-08	564	9	7	0	428
2020-10-09	591	9	6	0	433
2020-10-10	619	9	6	0	433
2020-10-11	662	9	6	0	466
2020-10-12	670	9	7	1	470
2020-10-13	700	9	9	2	478
2020-10-14	746	9	8	1	505
2020-10-15	792	9	8	1	532
2020-10-16	845	9	10	1	558
2020-10-17	904	9	10	1	592
2020-10-18	957	9	10	1	624
2020-10-19	962	10	15	2	640
2020-10-20	1014	10	14	1	660
2020-10-21	1075	10	14	1	696
2020-10-22	1149	10	17	2	740
2020-10-23	1212	10	16	2	788
2020-10-24	1286	10	16	2	852
2020-10-25	1354	10	16	2	908
2020-10-26	1403	10	15	3	943
2020-10-27	1469	10	22	2	952
2020-10-28	1544	10	23	2	1007
2020-10-29	1608	10	25	3	1069
2020-10-30	1674	11	32	3	1131
2020-10-31	1776	11	33	4	1211
2020-11-01	1814	11	29	4	1274
2020-11-02	1845	12	33	4	1330
2020-11-03	1895	13	36	4	1379
2020-11-04	1967	13	35	4	1451
2020-11-05	2062	13	35	4	1525
2020-11-06	2133	13	30	4	1592
2020-11-07	2183	13	30	3	1672
2020-11-08	2238	14	30	5	1754
2020-11-09	2276	14	31	5	1786
2020-11-10	2313	15	29	5	1820
2020-11-11	2369	15	29	4	1878
2020-11-12	2425	17	28	5	1956
2020-11-13	2506	17	30	6	2044
2020-11-14	2561	18	29	2	2112
2020-11-15	2608	21	31	2	2157
2020-11-16	2644	21	31	2	2205
2020-11-17	2701	23	33	2	2237
2020-11-18	2766	23	30	2	2283
