# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	2				
2020-02-28	2				
2020-02-29	6				
2020-03-01	7				
2020-03-02	10				
2020-03-03	13				
2020-03-04	15				
2020-03-05	23				
2020-03-06	29				
2020-03-07	34				
2020-03-08	40				
2020-03-09	49				
2020-03-10	62				
2020-03-11	101				
2020-03-12	140				
2020-03-13	163				
2020-03-14	218				
2020-03-15	250	1			
2020-03-16	326	1			
2020-03-17	429	1			
2020-03-18	568	2			
2020-03-19	679	3	60		
2020-03-20	711	4	78		
2020-03-21	919	5	83		
2020-03-22	978	6	110		
2020-03-23	1067	6	127		
2020-03-24	1213	8	138		
2020-03-25	1357	10	146		
2020-03-26	1489	13	156		
2020-03-27	1616	15	171		
2020-03-28	1690	19	187		
2020-03-29	1722	22	194		
2020-03-30	1848	24	197		
2020-03-31	1936	27	196		
2020-04-01	2125	36	203		
2020-04-02	2289	39	200		
2020-04-03	2417	41	207		
2020-04-04	2450	48	194		
2020-04-05	2480	52	194		
2020-04-06	2594	54	198		
2020-04-07	2677	56	181		
2020-04-08	2771	64	170		
2020-04-09	2868	66	165		
2020-04-10	2908	71	152		
2020-04-11	2966	77	149		
2020-04-12	2983	79	153		
2020-04-13	3000	83	154		
2020-04-14	3047	87	149		
2020-04-15	3094	91	136		
2020-04-16	3129	95	135		
2020-04-17	3152	100	123		
2020-04-18	3191	105	114		
2020-04-19	3218	105	116		
2020-04-20	3234	107	121		
2020-04-21	3259	109	110		
2020-04-22	3299	110	110		
2020-04-23	3316	113	96		
2020-04-24	3344	114	83	46	
2020-04-25	3375	115	77	44	
2020-04-26	3378	115	75	33	
2020-04-27	3396	119	73	33	
2020-04-28	3411	119	84	25	
2020-04-29	3440	121	82	25	
2020-04-30	3451	123	61	21	
2020-05-01	3464	123	43	20	
2020-05-02	3467	123	41	19	
2020-05-03	3471	123	42	19	
2020-05-04	3473	123	43	18	
2020-05-05	3489	124	54	16	
2020-05-06	3504	125	53	14	
2020-05-07	3514	125	50	12	
2020-05-08	3524	125	47	8	
2020-05-09	3529	126	37	8	
2020-05-10	3532	126	40	10	
2020-05-11	3537	126	44	10	
2020-05-12	3539	126	44	9	
2020-05-13	3545	126	38	11	
2020-05-14	3550	126	36	12	
2020-05-15	3552	127	33	12	
2020-05-16	3557	127	32	13	
2020-05-17	3559	127	33	12	
2020-05-18	3563	127	33	12	
2020-05-19	3567	128	30	8	
2020-05-20	3570	128	29	7	
2020-05-21	3571	129	25	6	
2020-05-22	3573	130	31	8	
2020-05-23	3575	130	26	7	
2020-05-24	3576	130	28	8	
2020-05-25	3578	130	23	8	
2020-05-26	3584	130	19	6	
2020-05-27	3587	130	18	4	
2020-05-28	3592	130	20	2	
2020-05-29	3598	130	15	0	
2020-05-30	3604	130	12	0	
2020-05-31	3604	130	11	3	
2020-06-01	3604	130	11	3	
2020-06-02	3606	130	11	1	
2020-06-03	3609	130	9	5	
2020-06-04	3617	130	9	5	
2020-06-05	3623	130	8	2	
2020-06-06	3627	130	7	2	
2020-06-07	3627	130	7	2	
2020-06-08	3627	130	7	0	
2020-06-09	3627	130	6	0	
2020-06-10	3630	130	7	0	
2020-06-11	3632	130	8	0	
2020-06-12	3634	130	9	0	
2020-06-13	3637	130	8	1	
2020-06-14	3642	130	9	1	
2020-06-15	3649	130	9	1	
2020-06-16	3656	130	8	0	
2020-06-17	3666	130	8	0	
2020-06-18	3671	130	10	0	
2020-06-19	3672	130	9	0	
2020-06-20	3679	130	10	1	
2020-06-21	3684	130	10	0	
2020-06-22	3687	130	11	1	
2020-06-23	3691	130	10	1	
2020-06-24	3707	130	8	1	
2020-06-25	3714	130	7	4	
2020-06-26	3733	130	7	5	
2020-06-27	3745	130	8	5	
2020-06-28	3756	130	8	5	
2020-06-29	3765	131	10	7	
2020-06-30	3793	131	12	2	
2020-07-01	3841	131	13	2	
