# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-27					
2020-03-01	0	0			0
2020-03-02	0	0			0
2020-03-03	1	0			0
2020-03-04	1	0			0
2020-03-05	1	0			0
2020-03-06	1	0			0
2020-03-07	1	0			0
2020-03-08	1	0			0
2020-03-09	1	0			0
2020-03-10	1	0			0
2020-03-11	3	0			0
2020-03-12	4	0			1
2020-03-13	5	0			1
2020-03-14	7	0			1
2020-03-15	7	0			1
2020-03-16	12	0			1
2020-03-17	19	0			1
2020-03-18	28	0			1
2020-03-19	28	0			1
2020-03-20	37	0			1
2020-03-21	44	0			4
2020-03-22	46	0			4
2020-03-23	51	0			5
2020-03-24	51	0			7
2020-03-25	53	0			7
2020-03-26	56	0			12
2020-03-27	60	0			19
2020-03-28	61	0			28
2020-03-29	62	0			28
2020-03-30	64	0			37
2020-03-31	68	0			44
2020-04-01	72	0			46
2020-04-02	75	0			50
2020-04-03	76	0			51
2020-04-04	77	1			55
2020-04-05	77	1			56
2020-04-06	77	1			58
2020-04-07	78	1			61
2020-04-08	78	1			61
2020-04-09	79	1			66
2020-04-10	79	1			70
2020-04-11	79	1			72
2020-04-12	80	1			77
2020-04-13	80	1			77
2020-04-14	80	1			77
2020-04-15	80	1			77
2020-04-16	80	1			77
2020-04-17	81	1			77
2020-04-18	81	1			77
2020-04-19	81	1			78
2020-04-20	81	1			78
2020-04-21	81	1			78
2020-04-22	81	1			79
2020-04-23	81	1			79
2020-04-24	82	1			79
2020-04-25	82	1			79
2020-04-26	82	1			79
2020-04-27	82	1			79
2020-04-28	82	1			80
2020-04-29	82	1			80
2020-04-30	82	1			80
2020-05-01	82	1			80
2020-05-02	82	1			80
2020-05-03	82	1			80
2020-05-04	82	1			80
2020-05-05	82	1			80
2020-05-06	82	1			81
2020-05-07	82	1			81
2020-05-08	82	1			81
2020-05-09	82	1			81
2020-05-10	82	1			81
2020-05-11	82	1			81
2020-05-12	82	1			81
2020-05-13	82	1			81
2020-05-14	82	1			81
2020-05-15	82	1			81
2020-05-16	82	1			81
2020-05-17	82	1			81
2020-05-18	82	1			81
2020-05-19	82	1			81
2020-05-20	82	1			81
2020-05-21	82	1			81
2020-05-22	82	1			81
2020-05-23	82	1			81
2020-05-24	82	1			81
2020-05-25	82	1			81
2020-05-26	82	1			81
2020-05-27	82	1			81
2020-05-28	82	1			81
2020-05-29	82	1			81
2020-05-30	82	1			81
2020-05-31	82	1			81
2020-06-01	82	1			81
2020-06-02	82	1			81
2020-06-03	82	1			81
2020-06-04	82	1			81
2020-06-05	82	1			81
2020-06-06	82	1			81
2020-06-07	82	1			81
2020-06-08	82	1			81
2020-06-09	82	1			81
2020-06-10	82	1			81
2020-06-11	82	1			81
2020-06-12	82	1			81
2020-06-13	82	1			81
2020-06-14	82	1			81
2020-06-15	82	1			81
2020-06-16	82	1			81
2020-06-17	82	1			81
2020-06-18	82	1			81
2020-06-19	82	1			81
2020-06-20	82	1			81
2020-06-21	82	1			81
2020-06-22	82	1			81
2020-06-23	82	1			81
2020-06-24	82	1			81
2020-06-25	82	1			81
2020-06-26	82	1			81
2020-06-27	82	1			81
2020-06-28	82	1			81
2020-06-29	82	1			81
2020-06-30	82	1			81
2020-07-01	82	1			81
2020-07-02	83	1			81
2020-07-03	83	1			81
2020-07-04	83	1			81
2020-07-05	84	1			81
2020-07-06	84	1			81
2020-07-07	84	1			81
2020-07-08	84	1	0		81
2020-07-09	84	1	0		81
2020-07-10	84	1	0		81
2020-07-11	84	1	0		81
2020-07-12	84	1	0		82
2020-07-13	84	1	0		82
2020-07-14	84	1	0		82
2020-07-15	84	1	0		83
2020-07-16	85	1	0		83
2020-07-17	85	1	0		83
2020-07-18	86	1	0		83
2020-07-19	86	1	0		83
2020-07-20	86	1	0		83
2020-07-21	86	1	0		83
2020-07-22	86	1	0		83
2020-07-23	86	1	0		83
2020-07-24	86	1	0		83
2020-07-25	86	1	0		83
2020-07-26	86	1	0		84
2020-07-27	86	1	0		85
2020-07-28	87	1	0		85
2020-07-29	88	1	0		85
2020-07-30	88	1	0		85
2020-07-31	88	1	0		85
2020-08-01	88	1	0		85
2020-08-02	88	1	0		85
2020-08-03	88	1	0		85
2020-08-04	88	1	0		86
2020-08-05	88	1	0		86
2020-08-06	88	1	0		86
2020-08-07	88	1	0		87
2020-08-08	88	1	0		87
2020-08-09	88	1	0		87
2020-08-10	88	1	0		87
2020-08-11	89	1	0		87
2020-08-12	90	1	0		87
2020-08-13	90	1	0		87
2020-08-14	91	1	0		87
2020-08-16	91	1	0		87
2020-08-17	94	1	1		87
2020-08-18	97	1	1		88
2020-08-19	98	1	1		88
2020-08-20	99	1	1		88
2020-08-21	99	1	1		88
2020-08-22	99	1	1		88
2020-08-23	99	1	1		90
2020-08-24	100	1	1		90
2020-08-25	102	1	1		94
2020-08-26	104	1	1		96
2020-08-27	105	1	1		96
2020-08-28	106	1	1		96
2020-08-29	107	1	0		97
2020-08-30	107	1	0		97
2020-08-31	107	1	0		97
2020-09-01	107	1	0		99
2020-09-02	107	1	0		99
2020-09-03	107	1	0		101
2020-09-04	107	1	0		104
2020-09-05	107	1	0		104
2020-09-06	107	1	0		105
2020-09-07	107	1	0		105
2020-09-08	107	1	0		105
2020-09-09	108	1	0		105
2020-09-10	109	1	0		105
2020-09-11	109	1	0		105
2020-09-12	111	1	0		105
2020-09-13	111	1	1		105
2020-09-14	111	1	1		106
2020-09-15	111	1	1		106
2020-09-16	111	1	1		106
2020-09-17	112	1	0		108
2020-09-18	112	1	0		108
2020-09-19	113	1	0		109
2020-09-20	113	1	1		110
2020-09-21	114	1	2		110
2020-09-22	115	1	2		110
2020-09-23	116	1	2		110
2020-09-24	116	1	2		110
2020-09-25	117	1	2		110
2020-09-26	117	1	1		112
2020-09-27	117	1	1		112
2020-09-28	117	1	0		113
2020-09-29	118	1	0		113
2020-09-30	118	1	0		114
2020-10-01	119	1	0		116
2020-10-02	120	1	0		116
2020-10-03	123	1	0		116
2020-10-04	126	1	0		116
2020-10-05	127	1	0		116
2020-10-06	130	1	0		116
2020-10-07	131	1	0		117
2020-10-08	136	1	0		117
2020-10-09	139	1	1		117
2020-10-10	142	1			
