# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-04	2				
2020-03-05	2				
2020-03-06	3				
2020-03-07	5				
2020-03-08	5				
2020-03-09	5				
2020-03-10	6				
2020-03-11	9				
2020-03-12	9				
2020-03-13	9	0			
2020-03-14	12	0			
2020-03-15	12	0			
2020-03-16	18	0			
2020-03-17	20	0			
2020-03-18	28	0			
2020-03-19	44	0			
2020-03-20	65	0			
2020-03-21	104	1			
2020-03-22	152	2			
2020-03-23	265	2			
2020-03-24	357	5			
2020-03-25	450	6			
2020-03-26	577	8			
2020-03-27	736	13			
2020-03-28	873	15			
2020-03-29	919	17			
2020-03-30	1157	20			
2020-03-31	1289	24			
2020-04-01	1413	29			
2020-04-02	1598	32			
2020-04-03	1769	41			
2020-04-04	2019	52			
2020-04-05	2269	64			
2020-04-06	2456	65			
2020-04-07	2575	73			
2020-04-08	2726	80			
2020-04-09	3018	89			
2020-04-10	3112	97			
2020-04-11	3393	108			
2020-04-12	3539	115			
2020-04-13	3702	122	525	286	
2020-04-14	3806	131	580	286	
2020-04-15	3962	142	590	286	
2020-04-16	4234	150	578	278	
2020-04-17	4507	169	566	285	
2020-04-18	4719	177	566	285	
2020-04-19	4929	184	631	283	
2020-04-20	5064	187	637	285	
2020-04-21	5251	208	637	285	
2020-04-22	5459	229	664	300	
2020-04-23	5769	249	699	305	
2020-04-24	6045	266	639	332	
2020-04-25	6280	266	697	313	
2020-04-26	6526	275	671	308	
2020-04-27	6716	275	647	328	
2020-04-28	6948	293	737	303	
2020-04-29	7202	304	756	312	
2020-04-30	7648	320	755	311	
2020-05-01	7962	330	709	311	
