# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	0				
2020-03-07	0				
2020-03-08	0				
2020-03-09	3				
2020-03-10	8				
2020-03-11	13				
2020-03-12	14				
2020-03-13	16				
2020-03-14	17				
2020-03-15	18				
2020-03-16	22				
2020-03-17	23				
2020-03-18	29				
2020-03-19	38				
2020-03-20	45				
2020-03-21	68				
2020-03-22	90				
2020-03-23	105				
2020-03-24	124				
2020-03-25	145	1	23		
2020-03-26	179	1	31		
2020-03-27	235	3	32		
2020-03-28	298	3	46		
2020-03-29	336	4	51		
2020-03-30	424	6	51		
2020-03-31	497	7	61		
2020-04-01	549	9	63		
2020-04-02	614	11	74		
2020-04-03	699	11	80		
2020-04-04	786	14	85		
2020-04-05	868	22	91		
2020-04-06	946	25	99		
2020-04-07	1048	26	104		
2020-04-08	1145	27	122		
2020-04-09	1270	29	122		
2020-04-10	1388	31	125	55	
2020-04-11	1510	34	118	55	
2020-04-12	1587	41	129	55	
2020-04-13	1710	43	142	70	
2020-04-14	1899	49	163	73	
2020-04-15	1995	53	171	78	
2020-04-16	2141	60	175	84	
2020-04-17	2332	64	183	88	
2020-04-18	2513	74	193	84	
2020-04-19	2902	75	198	86	
2020-04-20	3159	79	214	91	
2020-04-21	3641	83	214	89	
2020-04-22	3748	90	272	92	
2020-04-23	3924	96	282	102	
2020-04-24	4445	107	278	104	
2020-04-25	5092	112	293	108	
2020-04-26	5476	118	286	99	
2020-04-27	5868	127	300	100	
2020-04-28	6376	136	304	98	
2020-04-29	6843	148	323	100	
2020-04-30	7145	162	335	121	
2020-05-01	7884	170	345	121	
2020-05-02	8641	175	353	131	
2020-05-03	9169	184	378	133	
2020-05-04	9703	188	389	143	
2020-05-05	10111	207	407	152	
2020-05-06	10404	219	414	151	
2020-05-07	11059	231	417	151	
2020-05-08	11457	243	407	164	
2020-05-09	11671	252	402	161	
2020-05-10	11959	265	413	157	
2020-05-11	12373	271	394	152	
2020-05-12	12912	289	385	143	
2020-05-13	13289	306	388	133	
2020-05-14	13675	318	405	134	
2020-05-15	14049	336	387	130	
2020-05-16	14328	346	387	128	
2020-05-17	14651	351	376	124	
2020-05-18	14955	355	382	121	
2020-05-19	15349	372	383	126	
2020-05-20	15614	388	381	126	
2020-05-21	16170	406	376	125	
2020-05-22	16504	425	362	123	
2020-05-23	16893	444	362	111	
2020-05-24	17252	454	363	114	
2020-05-25	17577	459	377	118	
2020-05-26	17703	478	379	115	
2020-05-27	18360	491	393	109	
2020-05-28	18573	504	383	112	
2020-05-29	18926	522	376	117	
2020-05-30	19244	531	368	118	
2020-05-31	19552	534	341	116	
2020-06-01	19697	551	339	125	
2020-06-02	20016	561	327	114	
2020-06-03	20055	574	314	116	
2020-06-04	20805	580	310	105	
2020-06-05	21152	592	299	102	
2020-06-06	21478	598	299	102	
2020-06-07	21667	604	269	86	
2020-06-08	21987	612	265	85	
2020-06-09	22236	624	255	82	
2020-06-10	22551	630	245	73	
2020-06-11	22938	639	242	75	
2020-06-12	23337	643	225	81	
2020-06-13	23717	650	200	76	
2020-06-14	23926	652	203	77	
2020-06-15	24053	655	197	71	
2020-06-16	24179	669	193	71	
2020-06-17	24461	673	188	64	
2020-06-18	24854	679	188	64	
2020-06-19	25275	681	197	60	
2020-06-20	25496	681	182	58	
2020-06-21	25963	685	170	53	
2020-06-22	26051	686	169	51	
2020-06-23	26373	688	163	47	
2020-06-24	26705	692	140	43	
2020-06-25	27197	695	137	42	
2020-06-26	27686	704	141	42	
2020-06-27	28012	704	131	40	
2020-06-28	28489	705	118	36	
2020-06-29	28782	708	119	35	
2020-06-30	29007	715	133	34	
2020-07-01	29451	717	149	37	
2020-07-02	30209	718	145	36	
2020-07-03	30429	720	146	40	
2020-07-04	31041	721	134	40	
2020-07-05	31353	721	141	43	
2020-07-06	31657	723	151	41	
2020-07-07	32029	725	165	44	
2020-07-08	32509	735	165	44	
2020-07-09	33240	739	168	49	
2020-07-10	33984	743	169	54	
2020-07-11	34647	748	178	56	
2020-07-12	35071	750	177	54	
2020-07-13	35529	754	186	67	
2020-07-14	35849	757	186	67	
2020-07-15	36291	762	190	62	
2020-07-16	37132	778	195	65	
2020-07-17	37722	784	210	70	
2020-07-18	37907	787	210	70	
2020-07-19	38723	794	214	75	
2020-07-20	39166	797	221	76	
2020-07-21	39474	802	223	74	
2020-07-22	39793	808	224	71	
2020-07-23	40634	818	232	73	
2020-07-24	41271	823	230	72	
2020-07-25	41671	826	220	72	
2020-07-26	42200	827	226	77	
2020-07-27	42554	833	241	78	
2020-07-28	42777	839	253	75	
2020-07-29	43277	846	246	76	
2020-07-30	44038	857	237	76	
2020-07-31	44582	867	225	71	
2020-08-01	44976	872	242	77	
2020-08-02	45492	876	231	75	
2020-08-03	45841	882	241	78	
2020-08-04	46042	888	243	75	
2020-08-05	46659	899	248	77	
2020-08-06	47361	908	237	68	
2020-08-07	47865	913	223	65	
2020-08-08	48283	925	229	58	
2020-08-09	48789	930	221	57	
2020-08-10	49071	933	224	57	
2020-08-11	49329	940	244	64	
2020-08-12	49806	951	243	72	
2020-08-13	50336	959	261	88	
2020-08-14	50932	966	258	75	
2020-08-15	51793	973	261	82	
2020-08-16	52428	975	271	80	
2020-08-17	52722	981	283	85	
2020-08-18	52951	989	287	86	
2020-08-19	53288	1006	299	90	
2020-08-20	54015	1014	300	89	
2020-08-21	55006	1021	293	81	
2020-08-22	55735	1031	268	79	
2020-08-23	56275	1036	260	82	
2020-08-24	56633	1044	275	86	
2020-08-25	57294	1052	295	82	
2020-08-26	58235	1067	313	102	
2020-08-27	59786	1083	305	99	
2020-08-28	60971	1095	299	91	
2020-08-29	61749	1108	315	91	
2020-08-30	62720	1113	308	88	
2020-08-31	63328	1116	299	85	
2020-09-01	63919	1123	311	88	
2020-09-02	64645	1126	310	87	
2020-09-03	65523	1135	323	88	
2020-09-04	66614	1141	317	87	
2020-09-05	67642	1161	315	94	
2020-09-06	68291	1165	309	91	
2020-09-07	68684	1168	311	99	
2020-09-08	69139	1180	326	92	
2020-09-09	69503	1194	322	83	
2020-09-10	70405	1207	302	85	
2020-09-11	71133	1211	281	83	
2020-09-12	71706	1217	290	90	
2020-09-13	72490	1218	274	79	
2020-09-14	72876	1224	272	75	
2020-09-15	73277	1234	284	74	
2020-09-16	74080	1237	291	79	
2020-09-17	75028	1251	271	85	
2020-09-18	76211	1260	281	91	
2020-09-19	77058	1264	282	81	
2020-09-20	77679	1265	269	73	
2020-09-21	78339	1274	271	74	
2020-09-22	78887	1286	285	72	
2020-09-23	79923	1294	301	77	
2020-09-24	81071	1302	305	79	
2020-09-25	82045	1307	330	87	
2020-09-26	82944	1311	334	84	
2020-09-27	83636	1314	343	89	
2020-09-28	84002	1320	353	96	
2020-09-29	84476	1328	376	97	
2020-09-30	85596	1344	390	100	
2020-10-01	86634	1360	407	104	
2020-10-02	87559	1372	393	95	
2020-10-03	88470	1377	402	100	
2020-10-04	89096	1382	392	104	
