# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	0				
2020-03-08	0				
2020-03-09	1				
2020-03-10	1				
2020-03-11	6				
2020-03-12	14				
2020-03-13	36				
2020-03-14	69				
2020-03-15	91	2			
2020-03-16	114	2			
2020-03-17	171	4			
2020-03-18	240	6			
2020-03-19	347	8			
2020-03-20	479	12			
2020-03-21	585	16			
2020-03-22	837	20			
2020-03-23	1172	34			
2020-03-24	1388	46	271		
2020-03-25	1795	65	491		
2020-03-26	2305	83	676		
2020-03-27	2746	119	773		
2020-03-28	3315	137	927		
2020-03-29	3540	151	1127		
2020-03-30	4025	185	1185		
2020-03-31	5237	239	1355		
2020-04-01	6424	273	1498		
2020-04-02	9150	310	1639		
2020-04-03	10297	370	1707		
2020-04-04	12496	409	1726		
2020-04-05	13010	477	1803		
2020-04-06	14867	512	1981		
2020-04-07	16284	582	1996		
2020-04-08	17030	652	1983		
2020-04-09	18283	702	2014		
2020-04-10	19253	755	2054		
2020-04-11	20014	806	2067		
2020-04-12	20595	840	2084		
2020-04-13	21016	884	2134		
2020-04-14	21518	1013	1977		
2020-04-15	21951	1103	1943		
2020-04-16	22532	1156	1914		
2020-04-17	23118	1213	1868		
2020-04-18	23580	1267	1761		
2020-04-19	23928	1296	1748		
2020-04-20	24523	1328	1794		
2020-04-21	24854	1405	1798		
2020-04-22	25258	1473	1747		
2020-04-23	25739	1540	1727		
2020-04-24	26140	1601	1697		
2020-04-25	26512	1644	1700		
2020-04-26	26773	1670	1701		
2020-04-27	27068	1670	1683		
2020-04-28	27286	1801	1666		
2020-04-29	27660	1845	1629		
2020-04-30	28001	1862	1601		
2020-05-01	28711	1927	1607		
