# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	0				
2020-03-08	0				
2020-03-09	0				
2020-03-10	0				
2020-03-11	0				
2020-03-12	1				
2020-03-13	3				
2020-03-14	3				
2020-03-15	3				
2020-03-16	17				
2020-03-17	32				
2020-03-18	43				
2020-03-19	53				
2020-03-20	57				
2020-03-21	73				
2020-03-22	89				
2020-03-23	107				
2020-03-24	125				
2020-03-25	149				
2020-03-26	155				
2020-03-27	168	1			
2020-03-28	211	1			
2020-03-29	253	3			
2020-03-30	275	3			
2020-03-31	303	5			
2020-04-01	344	7			
2020-04-02	376	7			
2020-04-03	432	9			
2020-04-04	456	10			
2020-04-05	470	10			
2020-04-06	499	10			
2020-04-07	519	12			
2020-04-08	537	14			
2020-04-09	560	16			
2020-04-10	586	17			
2020-04-11	616	19			
2020-04-12	633	19			
2020-04-13	698	19	22		
2020-04-14	734	20	58	21	
2020-04-15	770	24	48	22	
2020-04-16	796	27	47	20	
2020-04-17	827	29	55	28	
2020-04-18	847	32	49	20	
2020-04-19	867	34	46	18	
2020-04-20	875	35	39	16	
2020-04-21	888	36	40	16	
2020-04-22	907	39	42	18	
2020-04-23	937	44	42	18	
2020-04-24	965	47	39	17	
2020-04-25	990	50	39	17	
2020-04-26	1015	50	39	19	
2020-04-27	1023	51	39	16	
2020-04-28	1040	51	33	17	
2020-04-29	1056	52	32	17	
2020-04-30	1095	53	35	18	
2020-05-01	1123	55	37	17	
2020-05-02	1152	56	36	19	
2020-05-03	1185	57	33	18	
2020-05-04	1205	57	37	18	
2020-05-05	1226	61	36	18	
2020-05-06	1254	62	37	18	
2020-05-07	1330	62	39	16	
2020-05-08	1374	63	44	23	
2020-05-09	1408	64	43	22	
2020-05-10	1436	64	36	17	
2020-05-11	1462	65	37	17	
2020-05-12	1477	65	34	17	
2020-05-13	1515	66	41	20	
2020-05-14	1565	69	37	18	
2020-05-15	1603	69	35	16	
2020-05-16	1648	70	37	19	
2020-05-17	1687	70	37	16	
2020-05-18	1713	71	42	16	
2020-05-19	1741	73	44	19	
2020-05-20	1819	73	43	24	
2020-05-21	1877	73	41	21	
2020-05-22	1948	75	45	21	
2020-05-23	2013	77	50	26	
2020-05-24	2055	78	59	27	
2020-05-25	2074	78	59	27	
2020-05-26	2109	79	60	26	
2020-05-27	2137	81	59	25	
2020-05-28	2189	84	58	22	
2020-05-29	2226	85	53	18	
2020-05-30	2282	89	46	18	
2020-05-31	2325	89	49	18	
2020-06-01	2349	89	52	17	
2020-06-02	2377	94	48	16	
2020-06-03	2418	95	44	14	
2020-06-04	2446	95	35	14	
2020-06-05	2482	98	35	13	
2020-06-06	2524	98	35	14	
2020-06-07	2570	99	34	15	
2020-06-08	2588	99	37	12	
2020-06-09	2606	100	29	10	
2020-06-10	2637	100	27	10	
2020-06-11	2667	100	29	12	
2020-06-12	2721	100	32	11	
2020-06-13	2757	100	29	10	
2020-06-14	2793	100	29	10	
2020-06-15	2810	101	31	11	
2020-06-16	2819	101	30	10	
2020-06-17	2836	102	27	10	
2020-06-18	2878	102	27	10	
2020-06-19	2913	102	26	11	
2020-06-20	2938	102	29	13	
2020-06-21	2957	102	26	11	
2020-06-22	2971	102	27	13	
2020-06-23	2994	102	24	12	
2020-06-24	3017	103	26	12	
2020-06-25	3070	103	25	10	
2020-06-26	3102	103	28	9	
2020-06-27	3154	104	24	7	
2020-06-28	3191	104	31	10	
2020-06-29	3219	105	31	8	
2020-06-30	3253	105	29	9	
2020-07-01	3294	105	29	8	
2020-07-02	3328	105	30	9	
2020-07-03	3373	105	27	9	
2020-07-04	3397	107	27	9	
2020-07-05	3415	109	25	9	
2020-07-06	3423	109	21	9	
2020-07-07	3440	110	22	9	
2020-07-08	3460	110	22	8	
2020-07-09	3486	111	16	7	
2020-07-10	3499	111	15	7	
2020-07-11	3520	112	16	7	
2020-07-12	3539	114	19	9	
2020-07-13	3558	114	18	8	
2020-07-14	3566	114	17	7	
2020-07-15	3578	114	12	9	
