# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	8				
2020-03-13	23				
2020-03-14	38				
2020-03-15	64				
2020-03-16	97				
2020-03-17	118				
2020-03-18	156	2			
2020-03-19	229	3			
2020-03-20	314	5			
2020-03-21	426	7			
2020-03-22	547	11			
2020-03-23	678	17			
2020-03-24	1060	26			
2020-03-25	1739	33			
2020-03-26	2318	42			
2020-03-27	3151	57			
2020-03-28	4158	72			
2020-03-29	4856	99			
2020-03-30	5653	124			
2020-03-31	6521	153			
2020-04-01	7639	187			
2020-04-02	8867	229			
2020-04-03	10303	265			
2020-04-04	11637	304	1370		
2020-04-05	12402	370	1632		
2020-04-06	13739	448	1667		
2020-04-07	15104	515	1831		
2020-04-08	16692	615	2119		
2020-04-09	18843	725	2302		
2020-04-10	20878	832	2435		
2020-04-11	22766	946	2507		
2020-04-12	25381	1056	2514		
2020-04-13	26794	1211	3485		
2020-04-14	28109	1329	3616		
2020-04-15	29970	1502	3637	973	
2020-04-16	32492	1667	3726	973	
2020-04-17	35125	1822	3756	987	
2020-04-18	37527	1983	3728	987	
2020-04-19	39820	2146	3789	987	
2020-04-20	41416	2303	3872	987	
2020-04-21	43168	2449	3977	1040	
2020-04-22	44913	2597	3890	1050	
2020-04-23	47992	2769	3851	1034	
2020-04-24	50969	2877	3847	1034	
2020-04-25	53348	2877	3879	1058	
2020-04-26	54938	2899	3879	1077	
2020-04-27	56462	3003	3892	1089	
2020-04-28	58302	3153	3875	1005	
2020-04-29	60265	3405	3856	1011	
2020-04-30	62205	3562	3803	1001	
2020-05-01	64311	3716	3716	947	
2020-05-02	66263	3846	3601	921	
2020-05-03	68087	4004	3617	904	
2020-05-04	69087	4090	3539	908	
2020-05-05	70271	4212	3542	914	
2020-05-06	72025	4420	3564	922	
2020-05-07	73721	4552	3436	852	
2020-05-08	75333	4702	3349	826	
2020-05-09	76743	4840	3229	814	
2020-05-10	77793	4979	3128	810	
2020-05-11	78462	5108	3102	813	
2020-05-12	79332	5141	3127	818	
2020-05-13	80497	5315	3101	794	
2020-05-14	82182	5482	2859	781	
2020-05-15	83421	5592	2767	749	
2020-05-16	84933	5705	2692	747	
2020-05-17	86010	5797	2597	702	
2020-05-18	87052	5862	2533	674	
2020-05-19	87925	5938	2472	672	
2020-05-20	88970	6066	2518	675	
2020-05-21	90084	6148	2396	647	
2020-05-22	90889	6228	2323	628	
2020-05-23	91662	6304	2237	610	
2020-05-24	92675	6372	2169	558	
2020-05-25	93271	6416	2132	576	
2020-05-26	93693	6473	2108	560	
2020-05-27	94220	6547	2106	556	
2020-05-28	94895	6640	2112	529	
2020-05-29	95512	6718	1991	485	
2020-05-30	96301	6768	1904	453	
2020-05-31	96965	6846	1824	436	
2020-06-01	100805	7035	1747	404	
2020-06-02	101163	7085	1657	394	
2020-06-03	101592	7152	1684	393	
2020-06-04	102063	7201	1637	401	
2020-06-05	102557	7235	1533	350	
2020-06-06	103132	7289	1529	359	
2020-06-07	103436	7316	1442	335	
2020-06-08	103626	7353	1415	322	
2020-06-09	103889	7408	1397	315	
2020-06-10	104156	7454	1345	319	
2020-06-11	104667	7492	1260	296	
2020-06-12	105059	7538	1143	276	
2020-06-13	105395	7576	1069	249	
2020-06-14	105603	7624	1039	244	
2020-06-15	105690	7647	1026	253	
2020-06-16	105885	7665	1045	244	
2020-06-17	106151	7734	998	227	
2020-06-18	106422	7770	968	227	
2020-06-19	106650	7800	994	199	
2020-06-20	106936	7828	964	200	
2020-06-21	107061	7858	927	194	
2020-06-22	107210	7874	920	180	
2020-06-23	107439	7890	953	181	
2020-06-24	107611	7938	939	181	
2020-06-25	107837	7963	822	174	
2020-06-26	108070	8013	791	156	
2020-06-27	108443	8041	769	143	
