# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	1				
2020-03-07	2				
2020-03-08	2				
2020-03-09	5				
2020-03-10	11				
2020-03-11	21				
2020-03-12	43				
2020-03-13	62				
2020-03-14	90				
2020-03-15	128				
2020-03-16	179				
2020-03-17	246				
2020-03-18	269				
2020-03-19	287				
2020-03-20	303				
2020-03-21	327	1			
2020-03-22	349	1			
2020-03-23	393	1			
2020-03-24	444	1			
2020-03-25	502	1	26		
2020-03-26	565	2	31		
2020-03-27	640	4	34		
2020-03-28	687	5	30		
2020-03-29	725	9	39		
2020-03-30	823	10	56	24	
2020-03-31	916	12	56	26	
2020-04-01	973	17	54	27	
2020-04-02	1056	18	75	38	
2020-04-03	1119	22	86	40	
2020-04-04	1158	24	95	42	
2020-04-05	1217	29	106	48	
2020-04-06	1330	30	115	57	
2020-04-07	1432	34	120	64	
2020-04-08	1534	39	135	64	
2020-04-09	1637	50	145	63	
2020-04-10	1732	57	143	64	
2020-04-11	1806	64	145	69	
2020-04-12	1864	70	157	74	
2020-04-13	2012	70	157	74	
2020-04-14	2165	79	177	75	
2020-04-15	2321	87	197	93	
2020-04-16	2486	94	213	103	
2020-04-17	2668	111	223	106	
2020-04-18	2788	121	239	111	
2020-04-19	2914	134	228	116	
2020-04-20	3190	143	237	126	
2020-04-21	3452	160	237	117	
2020-04-22	3758	179	240	107	
2020-04-23	4270	200	268	104	
2020-04-24	4788	221	278	111	
2020-04-25	5127	244	288	109	
2020-04-26	5512	272	285	115	
2020-04-27	6187	286	292	122	
2020-04-28	6788	301	314	120	
2020-04-29	7468	319	320	119	
2020-04-30	8116	343	365	130	
2020-05-01	8736	371	369	118	
2020-05-02	9071	395	389	135	
2020-05-03	9411	419	373	155	
2020-05-04	10235	428	396	166	
2020-05-05	10876	455	434	182	
2020-05-06	11510	485	443	180	
2020-05-07	12328	508	435	182	
2020-05-08	13040	534	473	198	
2020-05-09	13321	558	476	180	
2020-05-10	13552	578	434	199	
2020-05-11	14379	591	452	194	
2020-05-12	15043	614	496	199	
2020-05-13	15772	638	494	199	
2020-05-14	16565	663	498	203	
2020-05-15	17363	692	498	200	
2020-05-16	17705	709	493	225	
2020-05-17	18016	731	487	221	
2020-05-18	18987	740	488	229	
2020-05-19	19842	757	545	229	
2020-05-20	20609	786	550	212	
2020-05-21	21582	818	566	229	
2020-05-22	22374	851	534	233	
2020-05-23	22765	861	568	215	
2020-05-24	23121	878	553	207	
2020-05-25	23524	890	605	248	
2020-05-26	24308	908	570	258	
2020-05-27	24988	942	598	260	
2020-05-28	25559	977	606	242	
2020-05-29	26013	1006	592	259	
2020-05-30	26181	1036	589	263	
2020-05-31	26322	1050	555	257	
2020-06-01	26897	1060	549	253	
2020-06-02	27376	1082	537	248	
2020-06-03	27889	1097	537	254	
2020-06-04	28290	1126	512	244	
2020-06-05	28688	1159	478	220	
2020-06-06	28853	1181	473	206	
2020-06-07	28988	1197	450	199	
2020-06-08	29436	1208	452	198	
2020-06-09	29866	1228	455	199	
2020-06-10	30199	1267	427	193	
2020-06-11	30418	1280	411	196	
2020-06-12	30463	1305	403	191	
2020-06-13	30465	1314	390	191	
2020-06-14	30471	1329	369	186	
2020-06-15	30693	1335	353	186	
2020-06-16	30882	1344	357	185	
2020-06-17	31296	1357	351	181	
2020-06-18	31675	1376	345	171	
2020-06-19	32031	1393	339	168	
2020-06-20	32467	1404	324	161	
2020-06-21	32920	1412	322	160	
2020-06-22	33227	1416	332	156	
2020-06-23	33469	1425	339	158	
2020-06-24	33763	1432	340	160	
2020-06-25	34123	1441	336	162	
2020-06-26	34616	1446	335	157	
2020-06-27	35033	1452	300	155	
2020-06-28	35549	1460	288	143	
2020-06-29	35861	1470	278	140	
2020-06-30	36303	1476	270	136	
2020-07-01	36716	1482	260	125	
2020-07-02	37210	1495	274	123	
2020-07-03	37624	1503	270	132	
2020-07-04	37624	1503	270	132	
2020-07-05	38136	1508	253	132	
2020-07-06	38569	1511	258	125	
2020-07-07	39133	1514	267	121	
2020-07-08	39589	1523	265	122	
2020-07-09	40163	1528	251	116	
2020-07-10	40767	1533	227	124	
2020-07-11	41571	1537	241	121	
2020-07-12	42281	1540	251	123	
2020-07-13	42772	1542	247	114	
2020-07-14	43170	1548	236	107	
2020-07-15	43742	1558	254	106	
2020-07-16	44347	1566	249	103	
2020-07-17	45013	1573	252	110	
2020-07-18	45470	1578	265	117	
2020-07-19	46204	1581	258	120	
2020-07-20	47107	1585	247	115	
2020-07-21	47457	1588	266	112	
2020-07-22	47961	1592	273	119	
2020-07-23	48721	1601	282	107	
2020-07-24	49488	1606	278	108	
2020-07-25	50291	1611	287	115	
2020-07-26	51153	1614	273	115	
2020-07-27	51803	1616	257	126	
2020-07-28	52281	1620	294	138	
2020-07-29	52947	1629	310	143	
2020-07-30	53692	1634	298	141	
2020-07-31	54463	1640	312	151	
2020-08-01	55188	1646	317	149	
2020-08-02	55947	1654	302	149	
2020-08-03	56560	1656	302	153	
2020-08-04	57162	1660	328	159	
2020-08-05	57779	1670	305	152	
2020-08-06	58640	1677	319	153	
2020-08-07	59185	1681	300	155	
2020-08-08	60101	1689	309	154	
2020-08-09	60898	1698	312	148	
2020-08-10	61516	1701	320	159	
2020-08-11	61839	1707	337	147	
2020-08-12	62303	1724	335	154	
2020-08-13	62993	1731	308	154	
2020-08-14	63723	1739	313	152	
2020-08-15	64413	1745	307	140	
2020-08-16	65152	1752	290	152	
2020-08-17	65716	1758	286	155	
2020-08-18	66061	1767	304	154	
2020-08-19	66618	1784	321	152	
2020-08-20	67308	1791	309	148	
2020-08-21	68133	1799	296	136	
2020-08-22	68867	1807	316	148	
