# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	0				
2020-03-08	0				
2020-03-09	0				
2020-03-10	0				
2020-03-11	0				
2020-03-12	1				
2020-03-13	4				
2020-03-14	6				
2020-03-15	10				
2020-03-16	12				
2020-03-17	21				
2020-03-18	34				
2020-03-19	50				
2020-03-20	80	1			
2020-03-21	140	1			
2020-03-22	207	1			
2020-03-23	249	1			
2020-03-24	320	1			
2020-03-25	377	2			
2020-03-26	485	6			
2020-03-27	579	8			
2020-03-28	663	13			
2020-03-29	758	14			
2020-03-30	847	16			
2020-03-31	937	20			
2020-04-01	1073	22			
2020-04-02	1177	26			
2020-04-03	1358	29			
2020-04-04	1455	35			
2020-04-05	1638	43			
2020-04-06	1738	51			
2020-04-07	1915	59			
2020-04-08	2003	67			
2020-04-09	2260	76			
2020-04-10	2469	82			
2020-04-11	2642	93			
2020-04-12	2781	96			
2020-04-13	2942	98		124	
2020-04-14	3087	111		154	
2020-04-15	3360	122		154	
2020-04-16	3624	129		154	
2020-04-17	3793	140		154	
2020-04-18	3974	152		154	
2020-04-19	4274	159		138	
2020-04-20	4512	169	548	146	
2020-04-21	4716	183	548	146	
2020-04-22	4894	193	628	162	
2020-04-23	5153	201	595	156	
2020-04-24	5434	209	586	148	
2020-04-25	5718	221	649	152	
2020-04-26	5911	227	644	146	
2020-04-27	6094	229	590	142	
2020-04-28	6342	239	639	162	
2020-04-29	6569	250	677	151	
2020-04-30	6815	261	639	146	
2020-05-01	7212	281	651	160	
