# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	0				
2020-03-08	1				
2020-03-09	1				
2020-03-10	1				
2020-03-11	1				
2020-03-12	1				
2020-03-13	2				
2020-03-14	4	0			
2020-03-15	5	0			
2020-03-16	6	0			
2020-03-17	8	0			
2020-03-18	13	0			
2020-03-19	24	1			
2020-03-20	47	1			
2020-03-21	73	3			
2020-03-22	90	3			
2020-03-23	183	3			
2020-03-24	183	3			
2020-03-25	356	8			
2020-03-26	502	8			
2020-03-27	669	8			
2020-03-28	838	10			
2020-03-29	838	10			
2020-03-30	1031	13			
2020-03-31	1327	14			
2020-04-01	1581	18			
2020-04-02	1834	19			
2020-04-03	2113	19			
2020-04-04	2291	24	413		
2020-04-05	2367	34	424		
2020-04-06	2722	39	439		
2020-04-07	3037	53	508		
2020-04-08	3327	58	519		
2020-04-09	3539	77	568		
2020-04-10	3799	96	568		
2020-04-11	4024	109	506		
2020-04-12	4160	110	988		
2020-04-13	4388	114	988		
2020-04-14	4686	133	1041		
2020-04-15	4895	147	1024		
2020-04-16	5111	152	1043		
2020-04-17	5283	165	1043		
2020-04-18	5517	175	875		
2020-04-19	5667	176	875		
2020-04-20	5807	177	873		
2020-04-21	5941	189	1001		
2020-04-22	6137	208	1001		
2020-04-23	6321	218	884		
2020-04-24	6625	262	877		
2020-04-25	6826	273	850		
2020-04-26	6997	274	679		
2020-04-27	7171	288	679		
2020-04-28	7303	314	655		
2020-04-29	7425	318	891		
2020-04-30	7562	329	853		
2020-05-01	7835	337	883		
