# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-10		0			
2020-02-11		0			
2020-02-12		0			
2020-02-13		0			
2020-02-14		0			
2020-02-15		0			
2020-02-16		0			
2020-02-17		0			
2020-02-18		0			
2020-02-19		0			
2020-02-20		0			
2020-02-21		0			
2020-02-22		0			
2020-02-23		0			
2020-02-24		0			
2020-02-25		0			
2020-02-26		0			
2020-02-27		0			
2020-02-28		0			
2020-02-29		0			
2020-03-01		0			
2020-03-02		0			
2020-03-03		0			
2020-03-04		0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	4	0			
2020-03-08	6	0			
2020-03-09	11	0			
2020-03-10	15	0			
2020-03-11	24	1			
2020-03-12	30	1			
2020-03-13	50	1			
2020-03-14	50	1			
2020-03-15	98	2			
2020-03-16	178	2			
2020-03-17	267	4			
2020-03-18	427	7			
2020-03-19	742	13			
2020-03-20	890	16			
2020-03-21	1327	22			
2020-03-22	1914	29			
2020-03-23	2844	40			
2020-03-24	3675	60			
2020-03-25	4402	81			
2020-03-26	6876	109	1080		
2020-03-27	8825	141	2000		
2020-03-28	11124	192	2000		
2020-03-29	13386	218	2000		
2020-03-30	16636	267	2000		
2020-03-31	18696	365	2000		
2020-04-01	22255	475	2000		
2020-04-02	25590	680	2000		
2020-04-03	29895	816	3016		
2020-04-04	34124	1058	4000		
2020-04-05	37505	1184	4000		
2020-04-06	41090	1334	6390		
2020-04-07	44416	1631	7017	1651	
2020-04-08	47437	1969	7026	1617	
2020-04-09	51027	2236	7363	1523	
2020-04-10	54588	2521	7570	1679	
2020-04-11	58151	2845	7618	1746	
2020-04-12	61850	3085	7604	1914	
2020-04-13	64584	3250	7781	1886	
2020-04-14	68824	3661	8185	2051	
2020-04-15	71030	4070	8270	1980	
2020-04-16	75317	4491	8224	2014	
2020-04-17	78467	4856	8011	1961	
2020-04-18	81420	5142	7718	2024	
2020-04-19	85301	5313	7494	1940	
2020-04-20	88806	5521	6986	2018	
2020-04-21	92387	5935	7594	1930	
2020-04-22	95865	6278	7210	1983	
2020-04-23	99989	6610	7240	1990	
2020-04-24	102196	6889	6847	1933	
2020-04-25	105523	7169	6722	1971	
2020-04-26	109038	7271	6573	1804	
2020-04-27	111188	7410	6407	1801	
2020-04-28	113856	7838	6476	1809	
2020-04-29	116264	8187	6289	1811	
2020-04-30	118652	8668	6137	1765	
2020-05-01	121190	9003	5972	1724	
2020-05-02	123717	9230	5713	1715	
2020-05-03	126744	9384	5317	1623	
2020-05-04	128269	9446	5287	1610	
2020-05-05	130593	9787	5328	1534	
2020-05-06	131890	10110	5221	1549	
2020-05-07	133635	10374	4996	1470	
2020-05-08	135454	10544	4605	1439	
2020-05-09	137085	10721	4628	1416	
2020-05-10	138532	10872	4308	1338	
2020-05-11	139945	10932	4195	1255	
2020-05-12	140743	11145	4328	1306	
2020-05-13	141560	11347	4226	1226	
2020-05-14	142704	11600	3958	1157	
2020-05-15	143905	11797	3823	1127	
2020-05-16	145089	11912	3564	1061	
2020-05-17	146334	12022	3411	1030	
2020-05-18	148039	12105	3509	1053	
2020-05-19	149013	12257	3481	977	
2020-05-20	150399	12425	3405	969	
2020-05-21	151472	12527	3208	896	
2020-05-22	152719	12675	3049	846	
2020-05-23	153104	12774	2974	806	
2020-05-24	154154	12828	2857	760	
2020-05-25	155092	12843	2755	719	
2020-05-26	155764	12895	2723	786	
2020-05-27	156628	13046	2761	768	
2020-05-28	157815	13113	2797	740	
2020-05-29	158844	13248	2707	720	
2020-05-30	159608	13354	2626	672	
2020-05-31	160445	13421	2497	522	
2020-06-01	160918	13447	2466	646	
2020-06-02	161545	13499	2370	639	
2020-06-03	162068	13611	2250	612	
2020-06-04	162530	13706	1982	537	
2020-06-05	163336	13788	1933	542	
2020-06-06	163893	13846	1933	539	
2020-06-07	164164	13917	1882	503	
2020-06-08	164497	13956	1740	498	
2020-06-09	164796	14049	1736	510	
2020-06-10	165346	14125	1701	471	
2020-06-11	165816	14192	1512	445	
2020-06-12	166164	14241	1480	415	
2020-06-13	166605	14344	1395	409	
2020-06-14	166881	14381	1391	386	
2020-06-15	167103	14433	1342	399	
2020-06-16	167426	14485	1291	362	
2020-06-17	167703	14527	1352	358	
2020-06-18	168107	14559	1258	319	
2020-06-19	168496	14594	1177	286	
2020-06-20	168834	14617	1125	286	
2020-06-21	169142	14632	1105	278	
2020-06-22	169415	14660	1033	287	
2020-06-23	169734	14716	1092	307	
2020-06-24	169892	14762	1196	275	
2020-06-25	170196	14785	1182	252	
2020-06-26	170584	14828	1118	234	
2020-06-27	170873	14864	1103	236	
2020-06-28	171182	14891	1014	223	
2020-06-29	171272	14910	978	225	
2020-06-30	171667	14953	992	211	
2020-07-01	171928	14996	1080	217	
2020-07-02	172356	15023	1027	216	
2020-07-03	172742	15081	1028	216	
2020-07-04	173033	15106	983	205	
2020-07-05	173402	15128	917	210	
2020-07-06	173611	15147	861	187	
2020-07-07	173878	15200	903	169	
2020-07-08	174039	15252	935	175	
2020-07-09	174240	15277	963	170	
2020-07-10	174628	15308	904	162	
2020-07-11	174959	15354	872	166	
2020-07-12	175298	15370	890	163	
2020-07-13	175522	15389	892	166	
2020-07-14	175915	15411	888	149	
2020-07-15	176278	15436	923	151	
2020-07-16	176501	15467	862	146	
2020-07-17	176551	15486	868	141	
2020-07-18	176814	15501	800	141	
2020-07-19	176783	15509	766	149	
2020-07-20	176963	15519	798	146	
2020-07-21	177256	15542	833	169	
2020-07-22	177645	15566	873	151	
2020-07-23	177887	15590	869	152	
2020-07-24	178345	15625	800	138	
2020-07-25	178858	15636	831	143	
2020-07-26	179363	15648	725	126	
2020-07-27	179812	15666	695	128	
2020-07-28	180295	15688	718	112	
2020-07-29	180766	15706	761	116	
2020-07-30	180970	15717	759	123	
2020-07-31	181660	15728	695	113	
2020-08-01	182029	15740	695	113	
2020-08-02	182350	15746	695	113	
2020-08-03	182614	15756	738	144	
2020-08-04	182970	15767	470	126	
2020-08-05	183327	15774	784	117	
2020-08-06	183701	15781	754	129	
2020-08-07	184061	15792	551	120	
2020-08-08	184429	15801	540	94	
2020-08-09	184773	15806	483	83	
2020-08-10	185031	15810	545	83	
2020-08-11	185475	15822	538	101	
2020-08-12	185938	15833	592	111	
2020-08-13	186594	15841	545	103	
2020-08-14	187164	15851	514	91	
2020-08-15	187442	15860	520	99	
2020-08-16	187455	15862	450	83	
2020-08-17	187767	15866	472	91	
2020-08-18	188098	15876	468	106	
2020-08-19	188427	15887	471	92	
2020-08-20	188527	15893	433	79	
2020-08-21	188817	15902	414	61	
2020-08-22	189236	15904	376	66	
2020-08-23	189494	15907	411	72	
2020-08-24	189719	15910	446	66	
2020-08-25	190021	15914	432	78	
2020-08-26	190306	15924	425	72	
2020-08-27	190613	15931	455	77	
2020-08-28	190971	15940	436	83	
2020-08-29	191320	15943	437	88	
2020-08-30	191611	15947	480	95	
2020-08-31	191960	15955	484	103	
2020-09-01	192290	15960	463	84	
2020-09-02	192595	15971	514	99	
2020-09-03	192973	15978	504	98	
2020-09-04	193422	15985	466	95	
2020-09-05	193747	15992	389	69	
2020-09-06	194058	15996	403	74	
2020-09-07	194390	15998	389	79	
2020-09-08	194667	16003	419	82	
2020-09-09	194990	16010	423	63	
2020-09-10	195414	16015	435	62	
2020-09-11	195888	16024	483	81	
2020-09-12	196337	16028	462	84	
2020-09-13	196634	16032	444	98	
2020-09-14	196968	16036	420	91	
2020-09-15	197404	16045	406	90	
2020-09-16	197792	16054	462	100	
2020-09-17	198361	16057	431	85	
2020-09-18	198848	16061	413	73	
2020-09-19	199309	16064	412	89	
2020-09-20	199762	16067	380	91	
2020-09-21	200154	16069	349	87	
2020-09-22	200580	16076	417	80	
2020-09-23	200988	16082	459	90	
2020-09-24	201552	16091	433	88	
2020-09-25	202100	16097	405	75	
