# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-16	0				
2020-03-17	0				
2020-03-18	0	0			
2020-03-19	0	0			
2020-03-20	0	0			
2020-03-21	0	0			
2020-03-22	0	0			
2020-03-23	0	0			
2020-03-24	0	0			
2020-03-25	0	0			
2020-03-26	0	0			
2020-03-27	0	0			
2020-03-28	2				
2020-03-29	2				
2020-03-30	2				
2020-03-31	2				
2020-04-01	6				
2020-04-02	8	1			
2020-04-03	8	1			
2020-04-04	8	1			
2020-04-05	8	1			
2020-04-06	8	1			
2020-04-07	8	2			
2020-04-08	11	2			
2020-04-09	11	2			
2020-04-10	11	2			
2020-04-11	11	2			
2020-04-12	11	2			
2020-04-13	11	2			
2020-04-14	13	2			
2020-04-15	13	2			
2020-04-16	13	2			
2020-04-17	13	2			
2020-04-18	14	2			
2020-04-19	14	2			
2020-04-20	14	2			
2020-04-21	14	2			
2020-04-22	14	2			
2020-04-23	14	2			
2020-04-24	14	2			
2020-04-25	14	2			
2020-04-26	14	2			
2020-04-27	14	2			
2020-04-28	14	2			
2020-04-29	14	2			
2020-04-30	14	2			
2020-05-01	14	2			
2020-05-02	14	2			
2020-05-03	14	2			
2020-05-04	14	2			
2020-05-05	14	2			
2020-05-06	15	2			
2020-05-07	15	2			
2020-05-08	15	2			
2020-05-09	16	2			
2020-05-10	16	2			
2020-05-11	19	2			
2020-05-12	19	2			
2020-05-13	19	2			
2020-05-14	19	2			
2020-05-15	19	2			
2020-05-16	21	2			
2020-05-17	21	2			
2020-05-18	21	2			
2020-05-19	21	2			
2020-05-20	21	2			
2020-05-21	22	2			
2020-05-22	22	2			
2020-05-23	22	2			
2020-05-24	22	2			
2020-05-25	22	2			
2020-05-26	22	2			
2020-05-27	22	2			
2020-05-28	22	2			
2020-05-29	22	2			
2020-05-30	22	2			
2020-05-31	22	2			
2020-06-01	22	2			
2020-06-02	23	2			
2020-06-03	23	2			
2020-06-04	26	2			
2020-06-05	26	2			
2020-06-06	26	2			
2020-06-07	27	2			
2020-06-08	28	2			
2020-06-09	30	2			
2020-06-10	30	2			
2020-06-11	30	2			
2020-06-12	30	2			
2020-06-13	30	2			
2020-06-14	30	2			
2020-06-15	30	2			
2020-06-16	30	2			
2020-06-17	30	2			
2020-06-18	30	2			
2020-06-19	30	2			
2020-06-20	30	2			
2020-06-21	30	2			
2020-06-22	30	2			
2020-06-23	30	2			
2020-06-24	30	2			
2020-06-25	30	2			
2020-06-26	30	2			
2020-06-27	30	2			
2020-06-28	30	2			
2020-06-29	30	2			
2020-06-30	30	2			
2020-07-01	30	2			
2020-07-02	30	2			
2020-07-03	31	2			
2020-07-04	31	2			
2020-07-05	31	2			
2020-07-06	31	2			
2020-07-07	31	2			
2020-07-08	31	2			
2020-07-09	31	2			
2020-07-10	31	2			
2020-07-11	31	2			
2020-07-12	33	2			
2020-07-13	33	2			
2020-07-14	33	2			
2020-07-15	36	2			
2020-07-16	36	2			
2020-07-17	37	2			
2020-07-18	37	2			
2020-07-19	37	2			
2020-07-20	37	2			
2020-07-21	38	2			
2020-07-22	38	2			
2020-07-23	38	2			
2020-07-24	38	2			
2020-07-25	39	2			
2020-07-26	40	2			
2020-07-27	40	2			
2020-07-28	40	2			
2020-07-29	40	2			
2020-07-30	42	2			
2020-07-31	42	2			
2020-08-01	42	2			
2020-08-02	45	2			
2020-08-03	46	2			
2020-08-04	46	2			
2020-08-05	46	2			
2020-08-06	47	2			
2020-08-07	47	2			
2020-08-08	48	2			
2020-08-09	48	2			
2020-08-10	49	2			
2020-08-11	49	2			
2020-08-12	49	2			
2020-08-13	49	2			
2020-08-14	50	2			
2020-08-15	50	2			
2020-08-16	50	2			
2020-08-17	53	2			
2020-08-18	54	2			
2020-08-19	54	2			
2020-08-20	54	2			
2020-08-21	54	2			
2020-08-22	54	2			
2020-08-23	54	2			
2020-08-24	54	2			
2020-08-25	54	2			
2020-08-26	54	2			
2020-08-27	54	2			
2020-08-28	54	2			
2020-08-29	56	2			
2020-08-30	56	2			
2020-08-31	56	2			
2020-09-01	57	2			
2020-09-02	57	2			
2020-09-03	57	2			
2020-09-04	57	2			
2020-09-05	58	2			
2020-09-06	58	2			
2020-09-07	58	2			
2020-09-08	59	2			
2020-09-09	59	2			
2020-09-10	59	2			
2020-09-11	59	2			
2020-09-12	60	2			
2020-09-13	60	2			
2020-09-14	61	2			
