# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-04					
2020-03-05	3				
2020-03-06	3				
2020-03-07	3				
2020-03-08	7				
2020-03-09	14				
2020-03-10	14				
2020-03-11	15				
2020-03-12	19				
2020-03-13	19				
2020-03-14	30				
2020-03-15	30				
2020-03-16	36				
2020-03-17	39				
2020-03-18	47				
2020-03-19	75	3			
2020-03-20	88	3			
2020-03-21	114	3			
2020-03-22	114	3			
2020-03-23	161	4			
2020-03-24	191	5			
2020-03-25	209	8			
2020-03-26	209	8			
2020-03-27	327	11			
2020-03-28	414	12	91		
2020-03-29	479	13	107		
2020-03-30	548	13	107		
2020-03-31	606	16	132		
2020-04-01	690	18	132		
2020-04-02	736	18	132		
2020-04-03	826	21	134		
2020-04-04	899	22	188		
2020-04-05	999	26			
2020-04-06	1068	27			
2020-04-07	1132	27			
2020-04-08	1181	33			
2020-04-09	1239	33	156	61	
2020-04-10	1321	44	146	66	
2020-04-11	1321	44	146	66	
2020-04-12	1371	48	140	58	
2020-04-13	1527	52	295	81	
2020-04-14	1584	53	321	96	
2020-04-15	1633	55	311	88	
2020-04-16	1663	58	305	95	
2020-04-17	1736	64	307	89	
2020-04-18	1785	70	301	69	
2020-04-19	1844	72	290	74	
2020-04-20	1910	74	290	74	
2020-04-21	1956	75	303	74	
2020-04-22	2002	78	297	70	
2020-04-23	2059	78	302	67	
2020-04-24	2127	83	304	74	
2020-04-25	2177	86	258	56	
2020-04-26	2253	87	261	60	
2020-04-27	2311	91	249	71	
2020-04-28	2354	92	249	71	
2020-04-29	2354	92	249	71	
2020-04-30	2446	101	227	56	
2020-05-01	2510	103	243	65	
2020-05-02	2579	104	208	49	
2020-05-03	2635	109	209	50	
2020-05-04	2680	109	205	46	
2020-05-05	2759	109	207	41	
2020-05-06	2839	113	219	49	
2020-05-07	2916	115	191	47	
2020-05-08	2989	121	171	48	
2020-05-09	3068	124	159	42	
2020-05-10	3160	127	139	34	
2020-05-11	3228	127	164	45	
2020-05-12	3286	130	164	40	
2020-05-13	3286	130	165	39	
2020-05-14	3416	134	162	38	
2020-05-15	3479	137	163	38	
2020-05-16	3541	137	161	46	
2020-05-17	3612	137	153	48	
2020-05-18	3623	137	156	37	
2020-05-19	3687	138	137	43	
2020-05-20	3726	140	137	43	
2020-05-21	3801	144	152	42	
2020-05-22	3817	145	140	40	
2020-05-23	3864	147	146	47	
2020-05-24	3888	147	102	41	
2020-05-25	3927	148	117	35	
2020-05-26	3949	148	125	35	
2020-05-27	3967	148	149	40	
2020-05-28	4038	148	146	35	
2020-05-29	4086	151	149	32	
2020-05-30	4131	151	155	36	
2020-05-31	4185	153	131	32	
2020-06-01	4243	153	117	33	
2020-06-02	4302	154	108	32	
2020-06-03	4335	157	102	29	
2020-06-04	4399	159	112	27	
2020-06-05	4474	159	124	40	
2020-06-06	4570	161	121	39	
2020-06-07	4662	163	121	39	
2020-06-08	4808	164	121	39	
2020-06-09	4922	164	137	43	
2020-06-10	4988	169	145	47	
2020-06-11	5060	169	136	40	
2020-06-12	5237	171	130	39	
2020-06-13	5377	173	133	47	
2020-06-14	5535	174	133	47	
2020-06-15	5636	176	133	47	
2020-06-16	5820	180	125	50	
2020-06-17	6098	182	141	50	
2020-06-18	6218	183	158	54	
2020-06-19	6366	187	141	46	
2020-06-20	6572	188	154	50	
2020-06-21	6750	189	154	50	
2020-06-22	6937	190	154	50	
2020-06-23	7083	192	145	48	
2020-06-24	7274	192	184	58	
2020-06-25	7444	195	185	59	
2020-06-26	7568	197	189	60	
2020-06-27	7818	202	149	53	
2020-06-28	8094	202	149	53	
2020-06-29	8341	202	149	53	
2020-06-30	8485	204	151	44	
2020-07-01	8656	207	149	42	
2020-07-02	8931	208	192	62	
2020-07-03	9294	209	173	52	
2020-07-04	9636	209	173	52	
2020-07-05	9930	213	173	52	
2020-07-06	10230	215	173	52	
2020-07-07	10395	215	183	61	
2020-07-08	10605	220	191	55	
2020-07-09	10817	224	188	57	
2020-07-10	11188	230	192	59	
2020-07-11	11454	232	208	56	
2020-07-12	11851	232	208	56	
2020-07-13	12170	234	208	56	
2020-07-14	12438	237	246	67	
2020-07-15	12805	244	235	64	
2020-07-16	13081	247	207	53	
2020-07-17	13509	249	219	63	
2020-07-18	13802	254	242	64	
2020-07-19	14149	257	242	64	
2020-07-20	14579	260	242	64	
2020-07-21	14847	262	233	70	
2020-07-22	15139	269	237	64	
2020-07-23	15393	269	231	61	
2020-07-24	15713	273	225	52	
2020-07-25	16104	282	233	58	
2020-07-26	16492	286	233	58	
2020-07-27	16758	289	233	58	
2020-07-28	17088	289	237	58	
2020-07-29	17416	303	230	58	
2020-07-30	17721	311	235	62	
2020-07-31	18131	316	229	66	
2020-08-01	18492	322	208	65	
2020-08-02	18817	325	208	65	
2020-08-03	19097	326	208	65	
2020-08-04	19366	328	215	62	
2020-08-05	19699	333	219	62	
2020-08-06	19979	338	228	60	
2020-08-07	20225	339	230	58	
2020-08-08	20636	348	204	51	
2020-08-09	21010	355	204	51	
2020-08-10	21272	356	204	51	
2020-08-11	21488	357	214	58	
2020-08-12	21774	368	234	59	
2020-08-13	22022	375	213	50	
2020-08-14	22300	383	232	57	
2020-08-15	22613	385	224	57	
2020-08-16	23018	386	224	57	
2020-08-17	23262	388	224	57	
2020-08-18	23451	388	206	47	
2020-08-19	23676	397	214	54	
2020-08-20	23870	408	203	51	
2020-08-21	24165	412	175	48	
2020-08-22	24421	414	173	47	
2020-08-23	24710	417	173	47	
2020-08-24	24937	417	173	47	
2020-08-25	25155	420	143	44	
2020-08-26	25391	428	154	53	
2020-08-27	25571	433	140	48	
2020-08-28	25761	438	171	53	
2020-08-29	26054	447	166	47	
2020-08-30	26293	454	166	47	
2020-08-31	26554	458	166	47	
2020-09-01	26713	459	136	43	
2020-09-02	26946	465	132	49	
2020-09-03	27075	468	139	45	
2020-09-04	27336	470	133	43	
2020-09-05	27601	475	147	45	
2020-09-06	27856	480	147	45	
2020-09-07	28044	481	147	45	
2020-09-08	28190	482	147	45	
2020-09-09	28355	486	153	44	
2020-09-10	28471	494	147	31	
2020-09-11	28654	497	162	40	
2020-09-12	28865	499	161	43	
2020-09-13	29156	505	161	43	
2020-09-14	29337	509	161	43	
2020-09-15	29484	511	135	32	
2020-09-16	29662	519	155	34	
2020-09-17	29850	521	172	39	
2020-09-18	29850	521	144	32	
2020-09-19	30342	521	145	32	
2020-09-20	30599	525	145	32	
2020-09-21	30801	526	145	32	
2020-09-22	30995	529	169	34	
2020-09-23	31313	532	182	42	
2020-09-24	31503	538	188	45	
2020-09-25	31865	539	187	40	
2020-09-26	32314	542	199	40	
2020-09-27	32581	546	199	40	
2020-09-28	32820	547	199	40	
2020-09-29	32994	547	191	44	
2020-09-30	33291	555	173	53	
2020-10-01	33509	559	170	48	
2020-10-02	33862	560	179	49	
2020-10-03	34163	563	176	48	
2020-10-04	34511	571	176	48	
2020-10-05	34770	572	176	48	
2020-10-06	35049	572	184	43	
2020-10-07	35340	581	178	55	
2020-10-08	35634	583	197	39	
2020-10-09	36116	594	197	39	
2020-10-10	36526	597	212	49	
2020-10-11	36935	599	212	49	
2020-10-12	37262	599	212	49	
2020-10-13	37467	599	220	55	
2020-10-14	37780	605	210	47	
2020-10-15	38160	608	202	50	
2020-10-16	38525	611	199	49	
2020-10-17	38935	617	190	44	
2020-10-18	39316	620	190	44	
2020-10-19	39532	620	190	44	
2020-10-20	39794	628	168	50	
2020-10-21	40136	633	183	57	
2020-10-22	40443	635	183	57	
2020-10-23	40810	646	194	55	
2020-10-24	41348	649	197	53	
2020-10-25	41739	653	197	53	
2020-10-26	42101	653	197	53	
2020-10-27	42436	655	214	49	
2020-10-28	42808	664	215	61	
2020-10-29	43228	671	206	62	
2020-10-30	43793	673	235	62	
2020-10-31	44389	675	211	61	
2020-11-01	44921	689	211	61	
2020-11-02	45429	691	211	61	
2020-11-03	45978	692	234	74	
2020-11-04	46460	701	237	66	
2020-11-05	47049	705	237	66	
2020-11-06	47839	710	322	62	
2020-11-07	48608	716	266	62	
2020-11-08	49587	729	266	62	
2020-11-09	50448	730	266	62	
2020-11-10	51155	734	318	64	
2020-11-11	51909	737	337	78	
2020-11-12	52770	742	345	77	
2020-11-13	53879	746	342	71	
2020-11-14	54937	753	356	70	
2020-11-15	56018	759	356	70	
2020-11-16	56880	761	356	70	
2020-11-17	57646	765	413	93	
2020-11-18	58570	778	445	102	
2020-11-19	59669	788	484	103	
2020-11-20	60873	808	497	107	
2020-11-21	62175	812	458	99	
2020-11-22	63668	819	458	99	
2020-11-23	65170	820	458	99	
2020-11-24	66333	826	492	119	
2020-11-25	67333	847	534	116	
2020-11-26	68503	867	532	118	
2020-11-27	70006	882	532	118	
2020-11-28	70832	885	569	123	
2020-11-29	72506	896	569	123	
2020-11-30	74120	905	569	123	
2020-12-01	75431	912	584	117	
2020-12-02	76654	936	625	120	
2020-12-03	78160	953	620	113	
2020-12-04	79263	973	629	122	
2020-12-05	81437	1003	596	127	
2020-12-06	83243	1027	596	127	
2020-12-07	84496	1033	596	127	
2020-12-08	85788	1045	622	128	
2020-12-09	87082	1080	608	136	
2020-12-10	88287	1110	642	139	
2020-12-11	89838	1123	618	138	
2020-12-12	91420	1138	625	136	
2020-12-13	92839	1150	625	136	
2020-12-14	93853	1155	625	136	
2020-12-15	95010	1161	601	134	
2020-12-16	96092	1214	599	119	
2020-12-17	97622	1262	620	122	
2020-12-18	98936	1283	587	120	
2020-12-19	100308	1304	587	120	
2020-12-20	101814	1340	602	116	
2020-12-21	102930	1341	602	116	
2020-12-22	103755	1347	595	131	
2020-12-23	105073	1382	579	125	
2020-12-24	105970	1403	579	125	
2020-12-25	106821	1415	530	109	
2020-12-26	107718	1422	530	109	
2020-12-27	108326	1422	530	109	
2020-12-28	109725	1427	530	109	
2020-12-29	110545	1433	563	122	
2020-12-30	111227	1449	570	127	
2020-12-31	112260	1468	568	117	
2021-01-01	113909	1477	524	119	
2021-01-02	115339	1490	524	119	
2021-01-03	116348	1492	524	119	
2021-01-04	117745	1500	524	119	
2021-01-05	118453	1506	520	107	
2021-01-06	119488	1550	540	110	
2021-01-07	120223	1558	530	118	
2021-01-08	121085	1568	530	118	
2021-01-09	122847	1575	498	92	
2021-01-10	124476	1603	498	92	
2021-01-11	125683	1605	498	92	
2021-01-12	126607	1613	453	85	
2021-01-13	127780	1667	447	103	
2021-01-14	129109	1708	470	113	
2021-01-15	130246	1737	444	108	
2021-01-16	131258	1758	418	101	
2021-01-17	132412	1799	418	101	
2021-01-18	133205	1800	418	101	
2021-01-19	133851	1803	418	101	
2021-01-20	134468	1808	379	98	
2021-01-21	135142	1832	387	96	
2021-01-22	135973	1843	365	91	
2021-01-23	136839	1865	342	83	
2021-01-24	137600	1877	342	83	
2021-01-25	138168	1880	342	83	
2021-01-26	138587	1882	359	79	
2021-01-27	139355	1904	338	78	
