# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-01	1				
2020-03-02	1				
2020-03-03	2				
2020-03-04	2				
2020-03-05	2				
2020-03-06	3				
2020-03-07	3				
2020-03-08	3				
2020-03-09	3				
2020-03-10	3				
2020-03-11	5				
2020-03-12	5				
2020-03-13	14				
2020-03-14	20				
2020-03-15	20				
2020-03-16	21				
2020-03-17	23				
2020-03-18	33				
2020-03-19	44				
2020-03-20	54				
2020-03-21	66				
2020-03-22	83				
2020-03-23	106				
2020-03-24	124				
2020-03-25	132		15		
2020-03-26	165		23	9	
2020-03-27	203		28	9	
2020-03-28	239		29	9	
2020-03-29	294	3	35	9	
2020-03-30	402	4	41	9	
2020-03-31	489	8	59	9	
2020-04-01	566	10	60	14	
2020-04-02	657	12	72	14	
2020-04-03	709	14	77	14	
2020-04-04	806	17	93	31	
2020-04-05	922	25	103	33	
2020-04-06	1082	27	109	37	
2020-04-07	1230	30	123	40	
2020-04-08	1450	35	143	45	
2020-04-09	1727	43	160	45	
2020-04-10	2015	49	169	45	
2020-04-11	2349	56	183	50	
2020-04-12	2665	63	201	50	
2020-04-13	2976	73	197	50	
2020-04-14	3251	80	213	48	
2020-04-15	3529	87	229	54	
2020-04-16	3838	105	245	61	
2020-04-17	4177	118	252	62	
2020-04-18	4479	150	293	67	
2020-04-19	4755	164	298	66	
2020-04-20	5098	175	297	62	
2020-04-21	5467	186	309	67	
2020-04-22	5845	201	314	71	
2020-04-23	6262	213	316	72	
2020-04-24	6699	202	267	77	
2020-04-25	7129	215	263	77	
2020-04-26	7439	226	258	78	
2020-04-27	7708	233	266	81	
2020-04-28	7926	239	266	84	
2020-04-29	8247	251	269	80	
2020-04-30	8621	266	339	85	
2020-05-01	8962	279	352	76	
2020-05-02	9289	296	333	80	
2020-05-03	9477	320	330	83	
2020-05-04	9652	341	339	84	
2020-05-05	9933	355	327	89	
2020-05-06	10205	370	324	86	
2020-05-07	10530	388	318	82	
2020-05-08	10779	399	312	71	
2020-05-09	10989	418	292	77	
2020-05-10	11274	422	283	70	
2020-05-11	11450	430	276	73	
2020-05-12	11614	444	277	72	
2020-05-13	11835	462	269	68	
2020-05-14	12016	468	271	65	
2020-05-15	12219	479	272	63	
2020-05-16	12434	489	273	66	
2020-05-17	12674	499	260	64	
2020-05-18	12795	506	236	62	
2020-05-19	12951	532	247	59	
2020-05-20	13356	538	257	58	
2020-05-21	13571	556	254	56	
2020-05-22	13736	579	242	56	
2020-05-23	13952	597	233	51	
2020-05-24	14065	608	240	49	
2020-05-25	14065	608	240	49	
2020-05-26	14210	634	226	50	
2020-05-27	14353	655	218	49	
2020-05-28	14494	677	222	53	
2020-05-29	14635	693	219	47	
2020-05-30	14819	711	219	50	
2020-05-31	14928	718	206	46	
2020-06-01	14991	720	195	46	
2020-06-02	15112	732	188	48	
2020-06-03	15219	742	189	44	
2020-06-04	15325	756	185	42	
2020-06-05	15441	772	182	37	
2020-06-06	15441	772	182	37	
2020-06-07	15441	772	182	37	
2020-06-08	15642	799	146	28	
2020-06-09	15691	808	144	31	
2020-06-10	15756	812	148	27	
2020-06-11	15862	823	146	26	
2020-06-12	15947	833	141	28	
2020-06-13	15947	833	141	28	
2020-06-14	15947	833	141	28	
2020-06-15	16093	851	127	21	
2020-06-16	16164	865	129	16	
2020-06-17	16213	876	126	17	
2020-06-18	16269	885	126	23	
2020-06-19	16337	894	123	23	
2020-06-20	16337	894	123	23	
2020-06-21	16337	894	123	23	
2020-06-22	16459	903	106	18	
2020-06-23	16533	906	105	19	
2020-06-24	16606	912	104	20	
2020-06-25	16640	920	103	18	
2020-06-26	16661	927	91	16	
2020-06-27	16661	927	91	16	
