# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-03					
2020-03-04	0				
2020-03-05	0				
2020-03-06	5				
2020-03-07	5				
2020-03-08	5				
2020-03-09	12				
2020-03-10	15				
2020-03-11	18				
2020-03-12	22				
2020-03-13	22				
2020-03-14	22				
2020-03-15	56				
2020-03-16	56				
2020-03-17	63	1			
2020-03-18	82	2			
2020-03-19	108	3			
2020-03-20	175	5			
2020-03-21	235	5			
2020-03-22	263	5			
2020-03-23	287	8			
2020-03-24	712	9			
2020-03-25	975	12			
2020-03-26	1394	18			
2020-03-27	1731	23			
2020-03-28	2048	27			
2020-03-29	2552	34			
2020-03-30	2874	34			
2020-03-31	3266	41	196		
2020-04-01	3996	58	196		
2020-04-02	4665	70	196		
2020-04-03	5324	90	196		
2020-04-04	6112	105	196		
2020-04-05	6793	127	827		
2020-04-06	7273	140	1153		
2020-04-07	8261	154	1252		
2020-04-08	9353	177	1491		
2020-04-09	10230	199	1439		
2020-04-10	11671	226	1532		
2020-04-11	12561	254	1514		
2020-04-12	13484	271	1338		
2020-04-13	13906	287	1176		
2020-04-14	14624	318	1409		
2020-04-15	15492	364	1538		
2020-04-16	16455	393	1459		
2020-04-17	17371	428	1522		
2020-04-18	18260	453	1321		
2020-04-19	18923	477	1471		
2020-04-20	19458	495	1411		
2020-04-21	20196	517	1419		
2020-04-22	21069	543	1678		
2020-04-23	21944	561	1649		
2020-04-24	22806	593	1674		
2020-04-25	23773	623	1597		
2020-04-26	24631	648	1542		
2020-04-27	25297	663	1563		
2020-04-28	26171	690	1682		
2020-04-29	27054	732	1702		
2020-04-30	28087	782	1686		
2020-05-01	29229	816	1778		
2020-05-02	30522	847	1725		
2020-05-03	31548	867	1540		
2020-05-04	32332	884	1533		
2020-05-05	33369	906	1888		
2020-05-06	34422	948	1812		
2020-05-07	35390	973	1750		
2020-05-08	36609	1004	1734		
2020-05-09	37860	1049	1735		
2020-05-10	38869	1088	1626		
2020-05-11	39869	1100	1525		
2020-05-12	41048	1133	1725		
2020-05-13	42403	1158	1676		
2020-05-14	43851	1216	1648		
2020-05-15	45198	1272	1716		
2020-05-16	46999	1305	1791		
2020-05-17	47784	1336	1512		
2020-05-18	48693	1347	1551		
