# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-01-22	0				
2020-01-23	0				
2020-01-24	0				
2020-01-25	0				
2020-01-26	0				
2020-01-27	0				
2020-01-28	0				
2020-01-29	0				
2020-01-30	0				
2020-01-31	0				
2020-02-01	0				
2020-02-02	0				
2020-02-03	0				
2020-02-04	0				
2020-02-05	0				
2020-02-06	0				
2020-02-07	0				
2020-02-08	0				
2020-02-09	0				
2020-02-10	0				
2020-02-11	0				
2020-02-12	0				
2020-02-13	0				
2020-02-14	0				
2020-02-15	0				
2020-02-16	0				
2020-02-17	0				
2020-02-18	0				
2020-02-19	0				
2020-02-20	0				
2020-02-21	0				
2020-02-22	0				
2020-02-23	0				
2020-02-24	0				
2020-02-25	0				
2020-02-26	0	2			
2020-02-27	0	2			
2020-02-28	0	4			
2020-02-29	18	5			
2020-03-01	34	8			
2020-03-02	65	11			
2020-03-03	90	14			
2020-03-04	128	16			
2020-03-05	179	20			
2020-03-06	218	26			
2020-03-07	256	27			
2020-03-08	317	31			
2020-03-09	378	35			
2020-03-10	488	37			
2020-03-11	622	40			
2020-03-12	801	44			
2020-03-13	1018	47			
2020-03-14	1174	51			
2020-03-15	1282	57			
2020-03-16	1582	69			
2020-03-17	1846	78			
2020-03-18	2135	82			
2020-03-19	2468	92			
2020-03-20	2771	104			
2020-03-21	2965	111			
2020-03-22	3151	126			
2020-03-23	3614	137			
2020-03-24	4052	146			
2020-03-25	4492	159			
2020-03-26	4927	183			
2020-03-27	5391	199			
2020-03-28	5679	220			
2020-03-29	5921	237			
2020-03-30	6484	248			
2020-03-31	6949	262			
2020-04-01	7399	282			
2020-04-02	7796	310			
2020-04-03	8211	338			
2020-04-04	8418	365	574	174	
2020-04-05	8589	386	581	178	
2020-04-06	8983	407	638	191	
2020-04-07	9396	429	641	190	
2020-04-08	9741	443	655	186	
2020-04-09	10104	459	650	191	
2020-04-10	10413	476	642	191	
2020-04-11	10568	494	649	191	
2020-04-12	10657	509	642	191	
2020-04-13	11028	526	527	166	
2020-04-14	11330	542	387	98	
2020-04-15	11658	551	645	194	
2020-04-16	11967	571	595	196	
2020-04-17	12318	585	622	195	
2020-04-18	12493	598	518	155	
2020-04-19	12589	615	586	193	
2020-04-20	12923	629	403	122	
2020-04-21	13193	640	503	161	
2020-04-22	13476	647	543	161	
2020-04-23	13750	654	544	151	
2020-04-24	14100	659	551	164	
2020-04-25	14266	665	455	174	
2020-04-26	14379	738	508	145	
2020-04-27	14748	749	536	115	
2020-04-28	15043	765	436	158	
2020-04-29	15371	786	490	156	
2020-04-30	15619	801	474	145	
2020-05-01	15936	814	470	120	
2020-05-02	16048	824	428	117	
2020-05-03	16132	830	411	120	
2020-05-04	16518	834	263	86	
2020-05-05	16776	841	292	102	
2020-05-06	17065	862	390	127	
2020-05-07	17330	870	358	144	
2020-05-08	17583	891	393	122	
2020-05-09	17711	905	393	128	
2020-05-10	17773	921	335	101	
2020-05-11	18069	931	350	110	
2020-05-12	18319	945	321	94	
2020-05-13	18627	962	384	114	
2020-05-14	18898	975	365	111	
2020-05-15	19161	983	374	114	
2020-05-16	19279	992	331	90	
2020-05-17	19343	1000	168	52	
2020-05-18	19662	1001	168	52	
2020-05-19	19960	1002	168	52	
2020-05-20	20228	1031	168	52	
2020-05-21	20524	1037	242		
2020-05-22	20837	1044	332		
2020-05-23	20986	1050	332		
2020-05-24	21087	1055	313		
2020-05-25	21236	1061	207		
2020-05-26	21634	1070	267		
2020-05-27	21985	1078	241		
2020-05-28	22285	1095	325		
2020-05-29	22630	1106	317		
2020-05-30	22778	1111	319		
2020-05-31	22878	1118	266		
2020-06-01	23288	1118	245		
2020-06-02	23703	1124	232		
