# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-01					
2020-03-02					
2020-03-03					
2020-03-04					
2020-03-05					
2020-03-06					
2020-03-07	0				
2020-03-08	0				
2020-03-09	0				
2020-03-10	0				
2020-03-11	0				
2020-03-12	1				
2020-03-13	1				
2020-03-14	2				
2020-03-15	3				
2020-03-16	3				
2020-03-17	10				
2020-03-18	15				
2020-03-19	18				
2020-03-20	19				
2020-03-21	23				
2020-03-22	24				
2020-03-23	26				
2020-03-24	29				
2020-03-25	44				
2020-03-26	53				
2020-03-27	70	0			
2020-03-28	82	0			
2020-03-29	86	0			
2020-03-30	94	0			
2020-03-31	109	0			
2020-04-01	130	0			
2020-04-02	150	0			
2020-04-03	162	0			
2020-04-04	187	0			
2020-04-05	197	0			
2020-04-06	210	0			
2020-04-07	216	0			
2020-04-08	303	0			
2020-04-09	320	0			
2020-04-10	340	0			
2020-04-11	343	0			
2020-04-12	364	0			
2020-04-13	373	1			
2020-04-14	383	1			
2020-04-15	393	2			
2020-04-16	401	2	19		
2020-04-17	412	2	19		
2020-04-18	422	2	19		
2020-04-19	426	2	19		
2020-04-20	428	2	19		
2020-04-21	441	6	19		
2020-04-22	447	6	19		
2020-04-23	453	7			
2020-04-24	473	7	16		
2020-04-25	491	7	16		
2020-04-26	502	7	16		
2020-04-27	520	7	16		
2020-04-28	536	7	16		
2020-04-29	544	7	12		
2020-04-30	559	7	13		
2020-05-01	566	7	13		
2020-05-02	579	7	13		
2020-05-03	586	7	13		
2020-05-04	596	7	13		
2020-05-05	604	7	13		
2020-05-06	631	7	11		
2020-05-07	635	7	11		
2020-05-08	644	7	9		
2020-05-09	653	7	12		
2020-05-10	662	7	12		
2020-05-11	669	7	12		
2020-05-12	675	7	10		
2020-05-13	688	7	10		
2020-05-14	701	7	8		
2020-05-15	716	7	8		
2020-05-16	741	7	8		
2020-05-17	754	8	8		
2020-05-18	766	8	8		
2020-05-19	776	10	8		
2020-05-20	787	11	9		
2020-05-21	801	11	8		
2020-05-22	803	12	10		
2020-05-23	813	12	10		
2020-05-24	838	12	10		
2020-05-25	843	12	10		
2020-05-26	850	13	14		
2020-05-27	860	13	12		
2020-05-28	876	15	15		
2020-05-29	891	15	13		
2020-05-30	898	16	13		
2020-05-31	903	16	13		
2020-06-01	910	17	8		
2020-06-02	912	17	7		
2020-06-03	915	17	4		
2020-06-04	921	17	4		
2020-06-05	933	17	4		
2020-06-06	939	17	4		
2020-06-07	947	17	4		
2020-06-08	960	17	7		
2020-06-09	970	17	8		
2020-06-10	980	18	8		
2020-06-11	1009	18	7		
2020-06-12	1027	18	5		
2020-06-13	1050	18	5		
2020-06-14	1060	18	5		
2020-06-15	1079	18	4		
2020-06-16	1089	18	7		
2020-06-17	1114	18	7		
2020-06-18	1144	18	8		
2020-06-19	1173	20	8		
2020-06-20	1179	20	8		
2020-06-21	1197	20	8		
2020-06-22	1230	20	8		
2020-06-23	1254	20	8		
2020-06-24	1282	20	7		
2020-06-25	1326	20	7		
2020-06-26	1368	20	5		
2020-06-27	1392	20	5		
2020-06-28	1417	20	5		
2020-06-29	1450	20	7		
2020-06-30	1487	20	6		
2020-07-01	1514	20	9		
2020-07-02	1550	20	9		
2020-07-03	1582	20	8		
2020-07-04	1606	20	8		
2020-07-05	1634	20	8		
2020-07-06	1675	20	9		
2020-07-07	1711	20	10		
2020-07-08	1740	21	13		
2020-07-09	1774	21	12		
2020-07-10	1790	21	12		
2020-07-11	1839	21	12		
2020-07-12	1862	21	12		
2020-07-13	1904	21	17		
2020-07-14	1951	22	14		
2020-07-15	1985	22	17		
2020-07-16	2026	24	18		
2020-07-17	2069	24	19		
2020-07-18	2108	24	16		
2020-07-19	2126	24	17		
2020-07-20	2187	24	13		
2020-07-21	2238	25	13		
2020-07-22	2288	25	13		
2020-07-23	2347	25	15		
2020-07-24	2405	25	14		
2020-07-25	2446	25	14		
2020-07-26	2475	25	14		
2020-07-27	2520	25	17		
2020-07-28	2589	26	15		
2020-07-29	2628	26	16		
2020-07-30	2686	26	18		
2020-07-31	2726	26	18		
2020-08-01	2769	26	18		
2020-08-02	2808	26	18		
2020-08-03	2848	27	19		
2020-08-04	2884	27	17		
2020-08-05	2923	27	16		
2020-08-06	2958	27	16		
2020-08-07	3000	28	17		
2020-08-08	3013	28	17		
2020-08-09	3050	28	17		
2020-08-10	3042	28	15		
2020-08-11	3073	29	15		
2020-08-12	3086	29	15		
2020-08-13	3119	30	14		
2020-08-14	3183	30	13		
2020-08-15	3227	30	13		
2020-08-16	3286	30	13		
2020-08-17	3331	33	13		
2020-08-18	3363	34	12		
2020-08-19	3430	34	12		
2020-08-20	3468	34	18		
2020-08-21	3524	37	19		
2020-08-22	3543	37	19		
2020-08-23	3579	37	19		
2020-08-24	3603	37	20		
2020-08-25	3634	37	18		
2020-08-26	3684	37	17		
2020-08-27	3722	37	13		
2020-08-28	3763	37	15		
2020-08-29	3784	37	15		
2020-08-30	3820	37	15		
2020-08-31	3842	37	16		
2020-09-01	3866	41	13		
2020-09-02	3911	41	14		
2020-09-03	3939	41	15		
2020-09-04	3989	42	15		
2020-09-05	4006	42	15		
2020-09-06	4032	42	15		
2020-09-07	4032	42	15		
2020-09-08	4103	42	17		
2020-09-09	4151	42	12		
2020-09-10	4199	42	12		
2020-09-11	4264	42	12		
2020-09-12	4297	42	12		
2020-09-13	4346	42	12		
2020-09-14	4392	46	13		
2020-09-15	4438	46	16		
2020-09-16	4566	46	16		
2020-09-17	4652	49	16		
2020-09-18	4747	49	16		
2020-09-19	4780	49	16		
2020-09-20	4871	49	16		
2020-09-21	4944	49	23		
2020-09-22	5016	49	21		
2020-09-23	5169	50	21		
2020-09-24	5305	50	19		
2020-09-25	5420	50	22		
2020-09-26	5465	50	22		
2020-09-27	5633	50	22		
2020-09-28	5754	50	22		
2020-09-29	5821	50	22		
2020-09-30	5948	50	24		
2020-10-01	6083	53	27		
2020-10-02	6214	53	32		
2020-10-03	6365	53	32		
2020-10-04	6504	53	32		
2020-10-05	6629	53	36		
2020-10-06	6770	53	44		
2020-10-07	6899	53	47		
2020-10-08	7092	54	56		
2020-10-09	7335	54	54		
2020-10-10	7455	54	54		
2020-10-11	7611	54	54		
2020-10-12	7802	54	51		
2020-10-13	7964	57	46		
2020-10-14	8177	57	45		
2020-10-15	8375	57	51		
2020-10-16	8665	57	51		
2020-10-17	8816	57	51		
2020-10-18	9025	57	51		
