name	populationServed	ageDistribution	hospitalBeds	ICUBeds	suspectedCaseMarch1st	importsPerDay
Switzerland	8600000	Switzerland	30799	1400	1179	4
Germany	83784000	Germany	500680	23890	1232	12.2
France	65274000	France	274462	7540	13997	19.9
Italy	60462000	Italy	165384	7550	225600	10
Spain	46755000	Spain	110346	4479	62455	27
Poland	37847000	Poland	188342	2635	190	0.3
Romania	19238000	Romania	90024	4574	9	0.7
Netherlands	17135000	Netherlands	55690	1065	3371	0.9
Belgium	11590000	Belgium	63692	1755	753	0.1
Czechia	10709000	Czechia	92633	1242	12	0.6
Brazil	207353391	Brazil	429000	42000	252	10
Greece	10423000	Greece	38090	680	286	0.6
Portugal	10197000	Portugal	33821	451	8	0.4
Sweden	10099000	Sweden	22754	550	467	1.5
Hungary	9660000	Hungary	42413	1374	6	0.4
Austria	9006000	Austria	49395	1833	246	1.8
Bulgaria	6948000	Bulgaria	42851	913	2	0.3
Denmark	5792000	Denmark	13962	372	271	0.3
Finland	5541000	Finland	16852	329	20	0.2
Slovakia	5460000	Slovakia	26642	500	3	0.1
Ireland	4938000	Ireland	11241	289	13	0.1
Croatia	4105000	Croatia	16974	650	21	1
Lithuania	2722000	Lithuania	18504	502	0	0.1
Slovenia	2079000	Slovenia	8740	131	15	0.1
Kosovo	1810000	Kosovo	1000	142	1	0.1
Latvia	1886000	Latvia	6748	217	3	0.1
Estonia	1327000	Estonia	4824	196	7	0.1
Cyprus	1207000	Cyprus	2912	92	3	0.2
Luxembourg	626000	Luxembourg	2332	127	158	0.1
Malta	442000	Malta	1400	66	2	0.1
Canada	37600000	Canada	73000	4800	384	4
United Kingdom	66000000	United Kingdom of Great Britain and Northern Ireland	297000	9900	4143	4.6
United States of America	330000000	United States of America	1485000	49499	7403	20
CAN-Alberta	4413146	Canada	5819	700	8	1
CAN-British Columbia	5110917	Canada	6074	680	18	1
CAN-Manitoba	1377517	Canada	2885	246	6	1
CAN-New Brunswick	779993	Canada	1448	144	0	1
CAN-Newfoundland and Labrador	521356	Canada	1090	121	10	1
CAN-Nova Scotia	977457	Canada	1896	128	0	1
CAN-Nunavut	39097	Canada	30	4	0	0.1
CAN-NWT	44904	Canada	156	4	0	0.1
CAN-Ontario	14711827	Canada	15485	1723	21	1
CAN-Prince Edward Island	158158	Canada	295	24	10	1
CAN-Saskatchwan	1181666	Canada	2198	106	10	1
CAN-Yukon	41078	Canada	106	1	10	1
CHE-Zürich	1521000	Switzerland	5447	247	31	0.2
CHE-Bern	1035000	Switzerland	3706	168	19	0.1
CHE-Luzern	410000	Switzerland	1468	66	5	0.1
CHE-Uri	36000	Switzerland	128	5	0	0.1
CHE-Schwyz	159000	Switzerland	569	25	3	0.1
CHE-Obwalden	38000	Switzerland	136	6	2	0.1
CHE-Nidwalden	43000	Switzerland	153	7	1	0.1
CHE-Glarus	40000	Switzerland	143	6	2	0.1
CHE-Zug	127000	Switzerland	454	20	2	0.1
CHE-Fribourg	319000	Switzerland	1142	51	8	0.1
CHE-Solothurn	273000	Switzerland	977	44	3	0.1
CHE-Basel-Stadt	195000	Switzerland	698	80	165	0.1
CHE-Basel-Landschaft	288000	Switzerland	1031	46	15	0.1
CHE-Schaffhausen	82000	Switzerland	293	13	5	0.1
CHE-Appenzell Ausserrhoden	55000	Switzerland	196	8	3	0.1
CHE-Appenzell Innerrhoden	16000	Switzerland	57	2	1	0.1
CHE-St. Gallen	508000	Switzerland	1819	82	31	0.1
CHE-Graubünden	198000	Switzerland	709	32	9	0.1
CHE-Aargau	677000	Switzerland	2424	110	18	0.1
CHE-Thurgau	276000	Switzerland	988	44	2	0.1
